Symbol,Parameter,Min,Max,Units
VpP,Programming Supply Voltage,12.5,13.0,V
pP,Programming Supply Current,,50,mA
1/TCLCL,Oscillator Frequency,4,6,MHz
TAVGL,Address Setup to PROG Low,48TCLCL,,
TGHAX,Address Hold After PROG,48TCLCL,,
TDVGL,Data Setup to PROG Low,48TCLCL,,
TGHDX,Data Hold After PROG,48TCLCL,,
TEHSH,P2.7(ENABLE) High toVpp,48TCLCL,,
TSHGL,Vpp Setup to PROG Low,10,,μs
TGHSL,Vpp HoldAfter PROG,10,,μs
TGLGH,PROG Width,90,110,μs
TAVQV,Address to Data Valid,,48TCLCL,
TELQV,ENABLE Low to Data Valid,,48TCLCL,
TEHQZ,Data Float After ENABLE,0,48TCLCL,
TGHGL,PROG High to PROG Low,10,,μs
