Symbol,Parameter,12 MHz Oscillator,Variable Oscillator,Units,Min,Max
1/TCLCL,Oscillator Frequency,,3.5,MHz,,
TLHLL,ALE Pulse Width,127,2TCLCL-40,ns,,
TAVLL,Address Valid to ALE Low,43,TCLCL-40,ns,,
TLLAX,Address Hold after ALE Low,48,TCLCL-35,ns,,
TLLIV,ALE Low to Valid Instr In 8751H All Others,"183,233","4TCLCL-150,4TCLCL-100","ns,ns",,
TLLPL,ALE Low to PSEN Low,58,TCLCL-25,ns,,
TPLPH,PSEN Pulse Width 8751H All Others,"190,215","3TCLCL-60,3TCLCL-35","ns,ns",,
TPLIV,PSEN Low to Valid Instr In 8751H All Others,"100,125","3TCLCL-150,3TCLCL-125","ns,ns",,
TPXIX,Input Instr Hold after PSEN,0,0,ns,,
TPXIZ,Input Instr Float after PSEN,,63,TCLCL-20,ns,
TPXAV,PSEN to Address Valid,75,TCLCL-8,ns,,
TAVIV,Address to Valid Instr In 8751H All Others,"267,302","5TCLCL-150,5TCLCL-115","ns,ns",,
TPLAZ,PSEN Low to Address Float,,20,20,ns,
TRLRH,RD Pulse Width,400,6TCLCL-100,ns,,
TWLWH,WR Pulse Width,400,6TCLCL-100,ns,,
TRLDV,RD Low to Valid Data In,,252,5TCLCL-165,ns,
TRHDX,Data Hold after RD,0,0,ns,,
TRHDZ,Data Float after RD,,97,2TCLCL-70,ns,
TLLDV,ALE Low to Valid Data In,,517,8TCLCL-150,ns,
TAVDV,Address to Valid Data In,,585,9TCLCL-165,ns,
TLLWL,ALE Low to RD or WR Low,"200,300","3TCLCL-50,3TCLCL+50","ns,ns",,
TAVWL,Address to RD or WR Low,203,4TCLCL-130,ns,,
TQVWX,Data Valid to WR Transition 8751H All Others,"132,3","TCLCL-70,TCLCL-60","ns,ns",,
TQVWH,Data Valid to WR High,,433,7TCLCL-150,ns,
TWHQX,Data Hold after WR,33,TCLCL-50,ns,,
TRLAZ,RD Low to Address Float,,20,20,ns,
TWHLH,RD or WR High to ALE High 8751H All Others,"334,3","TCLCL-50,TCLCL-40","ns,ns",,
