Symbol,Parameter,Mln,Max,Units
VPP,Programming Supply Voltage,20.5,21.5,V
IPP,Programming Supply Current,,30,mA
1/TCLCL,Oscillator Frequency,4,6,MHz
TAVGL,Address Setup to PROG Low,48TCLCL,,
TGHAX,Address Hold after PROG,48TCLCL,,
TDVGL,DataSetuptoPROGLow,48TCLCL,,
TGHDX,Data Holdafter PROG,48TCLCL,,
TEHSH,P2.7(ENABLE) High to VPP,48TCLCL,,
TSHGL,VPP Setup to PROG Low,10,,μs
TGHSL,VPPHold after PROG,10,,μs
TGLGH,PROG Width,45,55,ms
TAVQV,Address to Data Valid,,48TCLCL,
TELQV,ENABLELowtoData Valid,,48TCLCL,
TEHQZ,DataFloat after ENABLE,0,48TCLCL,
