Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not too,A fair A great amount deal40% 20%,A fair A great amount deal40% 20%,A fair A great amount deal40% 20%,,,,,
Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,much,much,A fair A great amount deal40% 20%,A fair A great amount deal40% 20%,,,,,
Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,18%,18%,A fair A great amount deal40% 20%,A fair A great amount deal40% 20%,22%,22%,40%,20%,
Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,19,19,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,,,
Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,Not at Not tooall muchTotal 18% 22%Ages 18-29 11 1930-49 16 22,22,22,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,42,,
50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,20,A fair A great amount deal40% 20%,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,22,39,39
50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,26,26,26,42 2542 1939 1834 16,42 2542 1939 1834 16,42 2542 1939 1834 16,23,23,
50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,50-64 20 2265+ 26 23Postgraduate 14 15,15,A fair A great amount deal40% 20%,42 2542 1939 1834 16,39,31,31,31,,
College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,19,19,40,25,25,25,,,,,
College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,19,19,21,21,40,19,,,,,
College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,College grad 15Some college 19HS or less 20,20,20,26,26,26,39,14,,,,
