Variable,Benchmark source
Gender,2018 American Community Survey
Age,2018 American Community Survey
Education,2018 American Community Survey
Race/Hispanic origin,2018 American Community Survey
Country of birth among Hispanics,2018 American Community Survey
Years lived in the United States among Hispanics,2018 American Community Survey
Home internet access,
Region x,2019 CPS March Supplement
Metropolitan status,2019 CPS March Supplement
Volunteerism,2017 CPS Volunteering & Civic Life Supplement
Voter registration,2018 CPS Voting and Registration Supplement
Party affiliation,Average of the three most recent Pew Research Center telephone surveys.
