Weighting dimensions,Weighting dimensions
Variable,Benchmark source 2018 American
Gender,Community Survey
Age Education,Community Survey
Race/Hispanic origin,Community Survey
Country of birth among Hispanics Years lived in the United States among Hispanics,
access Region x Metropolitan status Supplement,2019 CPS March
Volunteerism,2017 CPS Volunteering& Civic Life
Voter registration,Supplement 2018 CPS Voting and Registration Supplement
Party affiliation,Average of the three most recent Pew Research Center telephone surveys.
