Month and Date.,Month and Date.,Day.,Time,,Efects.
1883.,1883.,,,,
Dec.,Dec.,7 Friday,,28 p.m.,"Sudden and terrific thud, as if from blasting"
,,,,222,"operations. Severe shake,accompanied with rumbling noise."
""" ”",""" ”",7 18,Tuesday ” ·,1 15 a.m.,"Very sharp shock,shaking house;not so severe"
,,,,,as on the 7th inst.
”,”,,Wednesday..,830,Slight shock.
”,”,,Thursday..,830,"Sudden, sharp shock."
”,”,1202021,：,11 15,Very sharp shock.
1884. ”,1884. ”,Friday,·,4 82 p.m.,"Slight shock, accompanied by rumbling noise."
Jan.,Jan.,Thursday,：,7 20,Slight shock.
"""","""",Saturday,：,8 14 a.m.,"Very sharp, severe shock; proper shake of house."
”,”,12291042 Tuesday,,4 55,Awoke by sudden rattling of jugs in wash-basin.
”,”,,,9 7 p.m.,Slight shock.
Feb.,Feb.,Sunday,,11 7,"Severe, startling shocks."
”,”,Thursday,,7 17 a.m.,Sudden rattling of bedroom ware.
Mar.,Mar.,Sunday,,420,Awoke by alarming shake of house；thought
”,”,,,10 0,the walls were giving way.
”,”,"Thursday """,,5 56,Slight shock.
”,”,2667Ⅱ１231618181920262627229,：,8 10,"Sudden, sharp shock. Severe shock."
”,”,” Friday,·,8 30,House shook.
”,”,Tuesday,,4 33,Awoke by awful shaking of bed and furnishings.
；,；,Wednesday..,,2 50,Severe shock.
；,；,Thursday..,,6 56,Slight shock.
”,”,Sunday,·,7 25,"Sharp,severe shock."
,,Tuesday,,9 24,"Sharp, severe shock."
；,；,”,,4,Severe shock.
”,”,Wednesday..,,10 55a.m.,Frightful shake; almost as bad as that of Dec.7.
”,”,Thursday,…,6 11 7,Slight shock.
”,”,Wednesday..,,9,Do.
”,”,Thursday ... ”,,7 11,Do.
”,”,,,37,Do.
"""","""",Saturday ；,,7p.m.,"Very severe shock, shaking houge."
； April,； April,Wednesday..,,212 ”,"Slight shock. Awoke by frightful shock, causing complete"
,,,,4 27 a.m.,oscillation of whole house.
"""","""",”,,3 33 p.m.,Severe shock.
”,”,Thursday,,2 45m,Slight shock.
”,”,Friday,,835,Do.
”,”,Saturday,,10 45,"Awfully severe shock；house shook, windows"
,,,,,rattled.
”,”,Monday,,7 19 p.m,Slight shock.
