Jurisdiction,Type ofSource,Citation,URL
Australia,Statute,Corporations Act 2001 (Cth),https:// perma.cc/5S7W-CTXW
Australia,Statute,Criminal Code Act 1995 (Cth),https://perma.cc/9YWA-732B
Australia,Statute,Privacy Act 1988 (Cth),https://perma.cc/TP5W-Z238
Australia,Statute,Security of Critical Infrastructure Act 2018 (Cth),https://perma.cc/QX3Y-QZHL
Australia,Statute,Telecommunications (Interception and Access) Act 1979(Cth),https:// perma.cc/42DG-GN2G
Australia,Statute,Telecommunications Act 1997 (Cth),"https:/ /perma.cc/P85S-MMK8 (vol1), https:/ / perma.cc/ET5H-TFCF (vol2"
Australia,Regulation,Security of Critical Infrastructure (Application) Rules(LIN 22/026) 2022 (Cth),https://perma.cc/FN7T-N64L
Australia,Regulation,Security of Critical Infrastructure (Critical infrastructurerisk management program) Rules (LIN 23/006) 2023 (Cth),https://perma.cc/BU5H-8GTT
Canada,Statute,"An Act respecting cyber security, amending theTelecommunications Act and making consequential amendments to other Acts (Bill C-26), 44th Parliament, 1stSession, June 14, 2022",https://perma.cc/T5EK-5E5Z
,,"An Act to enact the Consumer Privacy Protection Act, thePersonal Information and Data Protection Tribunal Actand the Artificial Intelligence and Data Act and to makeconsequential and related amendments to other Acts (BillC-27), 44th Parliament, 1st Session, June 16, 2022",https://perma.cc/594V-V3UN
,,"Personal Information Protection and ElectronicDocuments Act, S.C. 2000, c. 5",https:// perma.cc/ZB9S-BR99
EuropeanUnion,Treaty,Charter of Fundamental Rights of the European Union(EU Charter),https:// perma.cc/PAX8-4MYJ
EuropeanUnion,Treaty,Treaty on European Union (consolidated version) (TEU),https:// perma.cc/9E8Y-B6C5
EuropeanUnion,Treaty,Treaty on the Functioning of the European Union(consolidated version) (TFEU),https:// perma.cc/FM38-RYTH
EuropeanUnion,LegislativeAct,Cybersecurity Act (CSA),https://perma.cc/8E4S-2BPJ
EuropeanUnion,LegislativeAct,Digital Services Act (DSA),https://perma.cc/Y5S3-Z7YX
EuropeanUnion,LegislativeAct,General Data Protection Regulation (GDPR),https://perma.cc/7Y47-L7XX
EuropeanUnion,LegislativeAct,Network and Information Security (NIS) Directive,https:// perma.cc/JH4W-FHFB
EuropeanUnion,LegislativeAct,NIS 2 Directive,https://perma.cc/EGT7-7Q3F
EuropeanUnion,LegislativeAct,Proposal for a Regulation of the European Parliament andof the Council Laying Down Harmonised Rules onArtificial Intelligence (Artificial Intelligence Act) andAmending Certain Union Legislative Acts (Draft AI Act),https:/ / perma.cc/RWT9-9D97
,,"Proposal for a Regulation of the European Parliament and of the Council on Horizontal Cybersecurity Requirements for Products with Digital Elements and AmendingRegulation (EU) 2019/1020 (Cyber Resilience Act, CRA)",https:/ / perma.cc/N2TV-ZJRD
,,Standardization Regulation (consolidated version),https:/ / perma.cc/7NR3-DBYA
New Zealand,Statute,Crimes Act 1961,https:/ / perma.cc/WAE7-RRQ8
New Zealand,Statute,Fair Trading Act 1986,https://perma.cc/3F6Y-BEEU
New Zealand,Statute,Harmful Digital Communications Act 2015,https:/ / perma.cc/7M2A-DLMQ
New Zealand,Statute,Human Rights Act 1993,https:// perma.cc/XA7S-4HL4
New Zealand,Statute,Intelligence and Security Act 2017,https://perma.cc/PVT7-BQPH
New Zealand,Statute,New Zealand Bill of Rights Act 1990,https://perma.cc/PT9Q-UYYD
New Zealand,Statute,Privacy Act 2020,https:/ / perma.cc/UQ39-RZSA
New Zealand,Statute,Telecommunications (Interception Capability andSecurity) Act 2013,https:// perma.cc/YL3J-AEZQ
UnitedKingdom,Statute,"Competition Act 1998, c. 41",https:// perma.cc/DX9D-WQJU
UnitedKingdom,Statute,"Data Protection Act 2018, c.12",https:// perma.cc/5DMR-6FZV
UnitedKingdom,Statute,"Equality Act 2010, c.15 (Great Britain)",https:// perma.cc/52EB-2DQ2
,,"National Security and Investment Act 2021, c. 25",https://perma.cc/9VHY-B8UB
,Regulation,"Medical Devices Regulations 2002, SI 2002/618",https:// perma.cc/4FSR-SRHU
,Regulation,"National Security and Investment Act 2021 (NotifiableAcquisition) (Specification of Qualifying Entities)Regulations 2021, SI 2021/1264",https://perma.cc/3TPH-Y6YK
