```csv
Task category,"Description"
"How-to","Instructions on how to complete a task or accomplish a goal."
"Advice","Informed problem-solving."
"Explanation","A more detailed exposition of a topic, e.g., how batteries work, why animals hibernate, or how to apply rules of composition to photography."
"Hypothetical","Responses to imaginative, \"what if\" questions."
"Brainstorming","Generating ideas, options, or possibilities."
"Reasoning","Deducing the answer to a question using commonsense or information provided in the prompt."
"Comparison","Describes the similarities / differences between multiple things, like products, places, foods, etc."
"Identification","Identifying objects in the input image."
"Article","Asking for the creation of content such as blog posts."
"Report","Generating a summary of real events."
"Story","Creating fictional narratives."
"Other","Other miscellaneous requests."
```
