Exam,GPT-4,GPT-4 (no vision)
Uniform Bar Exam (MBE+MEE+MPT),298 / 400 (~90th),298 / 400 (~90th)
LSAT,163 / 163 (~88th),161 / 161 (~83rd)
SAT Evidence-Based Reading & Writing,710 / 800 (~93rd),710 / 800 (~93rd)
SAT Math,700 / 800 (~89th),690 / 800 (~89th)
Graduate Record Examination (GRE) Quantitative,163 / 170 (~80th),157 / 170 (~62nd)
Graduate Record Examination (GRE) Verbal,169 / 170 (~99th),165 / 170 (~96th)
Graduate Record Examination (GRE) Writing,4 / 6 (~54th),4 / 6 (~54th)
USABO Semifinal Exam 2020,87 / 150 (99th - 100th),87 / 150 (99th - 100th)
USNCO Local Section Exam 2022,36 / 60,38 / 60
Medical Knowledge Self-Assessment Program,75 %,75 %
Codeforces Rating,392 (below 5th),392 (below 5th)
