Academic Year 2016-17,From,To
Semester 1,23-Jul-16,02-Dec-16
Freshmen Orientation,23-Jul-16,05-Aug-16
Teaching Weeks,08-Aug-16,23-Sep-16
Recess Week,26-Sep-16,30-Sep-16
Teaching Weeks,03-Oct-16,11-Nov-16
Revision and Examination,14-Nov-16,02-Dec-16
Vacation,05-Dec-16,06-Jan-17
Semester 2,09-Jan-17,05-May-17
Teaching Weeks,09-Jan-17,24-Feb-17
Recess Week,27-Feb-17,03-Mar-17
Teaching Weeks,06-Mar-17,14-Apr-17
Revision and Examination,17-Apr-17,05-May-17
Vacation,08-May-17,04-Aug-17
Special Term I,08-May-17,16-Jun-17
Teaching Weeks,08-May-17,09-Jun-17
Revision & Examination,12-Jun-17,16-Jun-17
Special Term I,19-Jun-17,28-Jul-17
Teaching Weeks,19-Jun-17,21-Jul-17
Revision & Examination,24-Jul-17,28-Jul-17
