(USD millons unless indicated otherwise),Note,2021,2020,2019
Net sales to third parties from continuing operations,3,51626,48659,47 445
Sales to discontinued segment,,,,53
Net sales from continuing operations,,51626,48659,47498
Other revenues,3,1251,1239,1179
Cost of goods sold,,-15867,-15121,-14 425
Gross profit from continuing operations,,37010,34 777,34 252
"Selling, general and administration",,-14886,-14197,-14369
Research and development,,-9 540,-8980,-9402
Other income,,1852,1742,2031
Other expense,,-2747,-3190,-3426
Operating income from continuing operations,,11 689,10152,9086
Income from associated companies,4,15339,673,659
Interest expense,5,-811,-869,-850
Other financial income and expense,5,-80,-78,45
Income before taxes from continuing operations,,26137,9878,8940
Income taxes,6,-2119,-1807,-1793
Net income from continuing operations,,24018,8071,7 147
Net loss from discontinued operations before gain on distribution of Alcon Inc.to Novartis AG shareholders,30,,,-101
Gain on distribution of Alcon Inc.to Novartis AG shareholders,,,,
Net income from discontinued operations,2,,,4691
,30,,,4590
Net income Attributable to:,,24018,8071,11737
Shareholders of Novartis AG,,24 021,8072,11732
Non-controlling interests,,-3,-1,5
Basic earnings per share (USD) from continuing operations,,,,
Basic earnings per share (USD) from discontinued operations,,10.71,3.55,3.12
Total basic earnings per share (USD),,,,2.00
,7,10.71,3.55,5.12
Diluted earnings per share (USD) from continuing operations,,,,
Diluted earnings per share (USD) from discontinued operations,,10.63,3.52,3.08
Total diluted earnings per share (USD),7,10.63,3.52,1.98 5.06
