(As a percentage),2021,2020,2019
Applicable tax rate,14.8,13.6,11.7
Effect of disallowed expenditures,1.0,4.6,4.8
Effect of utilization of tax losses brought forward from prior periods,0.0,-0.3,-0.1
Effect of income taxed at reduced rates,-0.1,-0.3,-0.7
Effect of income not subject to tax',-7.5,-0.7,0.0
Effect of tax credits and allowances,-1.4,-2.3,-2.3
Effect of release of contingent consideration liability,,,
Effect of tax rate change,-0.1,-0.2,-0.5
on current and deferred tax assets and liabilities²,0.0,0.3,-1.4
Effect of write-off of deferred tax assets,0.0,0.2,4.0
Effect of write-down and reversal of,,,
write-down of investments in subsidiaries Effect of prior-year items,0.0,-0.8,-0.6
Effect of other items 4,0.1,2.3,2.2 3.0
Effective tax rate for continuing operations,1.3 8.1,1.9 18.3,20.1
