USD millions,2021,2020,2021,2020,2021,2020,2021,2020
Net sales to third parties,41995,39013,9631,9646,51626,48659,,
Sales to other segments,795,792,180,189,-975,-981,,
Net sales,42790,39805,9811,9835,-975,-981,51626,48659
Other revenues,1179,1018,61,53,11,168,1251,1239
Cost of goods sold,-11751,-10927,-5147,-5252,1031,1058,-15867,-15121
Gross profit,32218,29896,4725,4636,67,245,37010,34777
"Selling, general and administration",-12306,-11657,-2062,-2076,-518,-464,-14886,-14197
Research and development,-8641,-8118,-899,-862,-9540,-8980,-9540,-8980
Other income,1149,922,233,176,470,644,1852,1742
Other expense,-1732,-1871,-397,-831,-618,-488,-2747,-3190
Operating income,10688,9172,1600,1043,-599,-63,11689,10152
Income from associated companies,5,1,2,2,15332,670,15339,673
Interest expense,-,-,-,-,-811,-869,-,-
Other financial income and expense,-,-,-,-,-80,-78,-,-
Income before taxes,26137,9878,,,,,,
Income taxes,-2119,-1807,,,,,,
Net income,24018,8071,,,,,,
Attributable to:,,,,,,,,
Shareholders of Novartis AG,24021,8072,,,,,,
Non-controlling interests,-3,-1,,,,,,
Included in net income are:,,,,,,,,
Interest income,71,91,,,,,,
"Depreciation of property, plant and equipment",-859,-912,-210,-282,-139,-124,-1208,-1318
Depreciation of right-of-use assets,-265,-273,-39,-41,-14,-16,-318,-330
Amortization of intangible assets,-3638,-3080,-238,-370,-27,-12,-3903,-3462
"Impairment charges on property, plant and equipment, net",-271,-324,-9,-116,-1,-281,-281,-440
"Impairment charges on intangible assets, net",-367,-768,-28,-141,-8,-5,-403,-914
"Impairment charges and fair value changes on financial assets, net",43,153,-,-,-5,182,38,335
Additions to restructuring provisions,-240,-217,-62,-98,-26,-39,-328,-354
Equity-based compensation of Novartis equity plans,-721,-714,-65,-64,-193,-180,-979,-958
