Associated companies at fair value through profit and loss,2021,2021,2021,Contingent consideration receivables,Contingent consideration payables
January 1,211,366,460,625,-1046
"Fair value gains and other adjustments, including from divestments recognized in the consolidated income statement",2,70,69,124,182
Fair value losses (including impairments and amortizations) and other adjustments recognized in the consolidated income statement,-26,-8,-13,-44,-189
"Fair value adjustments recognized in the consolidated statement of comprehensive income, including currency translation effects",-2,-1,51,-22,22
Purchases,34,12,137,,-88
Cash receipts and payments,,,-,-42,44
Disposals,-27,-71,-43,,
Reclassification,,-30,-44,,
December 31,192,338,617,641,-1075
"Total of fair value gains and losses recognized in the consolidated income statement for assets and liabilities held at December 31, 2021",-24,62,56,,"80,-7"
