USD millions,Note,Financial instruments at amortized costs,Financial instruments at fair value through other comprehensive income,Financial instruments at fair value through the consolidated income statement,Other financial liabilities
Cash and cash equivalents,16,10397,2010,,
Time deposits and short-term investments with original maturity more than 90 days,16,12965,,,
Trade receivables,15,8005,,,
Other receivables and current assets,17,793,,,
Marketable securities - debt securities,16,2741,,,
Long-term financial investments - equity securities,13,1195,468,,
Long-term financial investments - debt securities,13,34,,,
Long-term financial investments - fund investments,13,,366,,
"Long-term loans, advances, security deposits and other long-term receivables",13,332,,,
Associated companies at fair value through profit and loss,,,,192,
Derivative financial instruments,16,,105,,
Contingent consideration receivables,13,,641,,
Total financial assets,,32492,5980,1772,
Interest-bearing accounts of employees payable on demand,21,1814,,,
Bank and other short-term financial debt,21,899,,,
Commercial paper,21,893,,,
Straight bonds,19,25296,,,
Long-term liabilities to banks and other financial institutions,19,227,,,
Trade payables,,5553,,,
Commitment for repurchase of own shares,18/22,2809,,,
Contingent consideration liabilities (see Note 20/22) and other financial liabilities,,,1094,,
Derivative financial instruments,21,,68,,
Lease liabilities,10,,,1896,
Total financial liabilities,,37491,1162,1896,
