Account Type,Level,Amount
tsv,,
2020,Financial,"instruments,at,amortized,costs,Financial,instruments,at,fair,value,through,other,comprehensive,income,Financial,instruments,at,fair,value,through,the,consolidated,income,statement,Other,financial,liabilities"
(USD,millions),Note
Cash,and,"cash,equivalents,16,9,658"
Time,deposits,"and,short-term,investments,with,original,maturity,more,than,90,days,16,1,609"
Trade,receivables,"15,8,217"
Time deposits and short-term investments with original maturity more than 90 days,16,1 609
Trade receivables,15,8 217
Other receivables and current assets,17,963
Marketable securities - debt securities,16,26
Long-term financial investments - equity securities,13,"1 111,466"
Long-term financial investments - debt securities,13,36
Long-term financial investments - fund investments,13,366
"Long-term loans, advances, security deposits and other long-term receivables",13,297
Associated companies at fair value through profit and loss,13,211
Derivative financial instruments,16,150
Long-term loans,advances,security deposits and other long-term receivables    13    297
Associated companies at fair value through profit and loss    211,,
Derivative financial instruments    16    159,,
Contingent consideration receivables    13    625,,
Total financial assets    20 744    1 173    1 827,,
Interest-bearing accounts of employees payable on demand    21    2 085,,
Bank and other short-term financial debt    21    976,,
Commercial paper    21    4 258,,
Straight bonds    19    28 298,,
Commercial paper\t21\t4 258,,
Straight bonds\t19\t28 298,,
Long-term liabilities to banks and other financial institutions\t19\t233,,
Trade payables\t5 403,,
Commitment for repurchase of own shares\t18/22\t1 769,,
Contingent consideration liabilities (see Note 20/22) and other financial liabilities\t\t1 069,,
Derivative financial instruments\t21\t194,,
Lease liabilities\t10\t2 005,,
Total financial liabilities\t\t43 022\t1 263\t2 005,,
