As at December 31, 2021,Share,capital^1,Equity,interest
Algeria,"Société par actions SANDOZ, Algiers",DZD,650.0 m,100%,
Argentina,Novartis Argentina S.A., Buenos Aires,ARS,906.1 m,100%
Australia,Novartis Australia Pty Ltd, Macquarie Park, NSW,AUD,"2,100%,Australia Pty Ltd,Macquarie Park,NSW,AUD,3.8 m,100%,Sandoz Pty Ltd,Macquarie Park,NSW,AUD,11.6 m,100%"
Austria,Novartis Austria GmbH, Vienna,EUR,1.0 m,"100%,Novartis Pharma GmbH,Vienna,EUR,1.1 m,100%,Sandoz GmbH,Kundl,EUR,32.7 m,100%,EBEWE Pharma Ges.m.b.H Nfg. KG,Unterach am Attersee,EUR,1.0 m,100%"
Bangladesh,Novartis (Bangladesh) Limited, Gazipur,BDT,162.5 m,60%
Belgium,Novartis Pharma NV, Vilvoorde,EUR,7.1 m,"100%,Sandoz NV,Vilvoorde,EUR,19.2 m,100%,Alcon - Couvreur NV,Puurs,EUR,110.6 m,100%"
Bermuda,Novartis Investment Ltd., Hamilton^2,USD,12 000,"100%,Novartis Securities Investment Ltd.,Hamilton,CHF,30 000,100%,Novartis Finance Services Ltd.,Hamilton,CHF,20 000,100%,Triangle International Reinsurance Limited,Hamilton,CHF,1.0 m,100%,Trinity River Insurance Co Ltd.,Hamilton,USD,370 000,100%"
Brazil,Novartis Biociências S.A., São Paulo,BRL,507.1 m,"100%,Sandoz do Brasil Indústria Farmacêutica Ltda.,Cambé,PR,BRL,190.0 m,100%"
Canada,Novartis Pharmaceuticals Canada Inc., Dorval, Quebec,CAD,"1.2 m,100%,Sandoz Canada Inc.,Boucherville,Quebec,CAD,80.8 m,100%,Sandoz Manufacturing Inc.,Boucherville,Quebec,CAD,65.7 m,100%"
Chile,Novartis Chile S.A., Santiago de Chile,CLP,2.0 bn,100%
China,Beijing Novartis Pharma Co., Ltd., Beijing,USD,"30.0 m,100%,Novartis Pharmaceuticals (HK) Limited,Hong Kong,HKD,200,100%,China Novartis Institutes for BioMedical Research Co.,Ltd.,Shanghai,USD,320.0 m,100%,Suzhou Novartis Technical Development Co.,Ltd.,Changshu,USD,12.0 m,100%,Shanghai Novartis Trading Ltd.,Shanghai,USD,3.2 m,100%,Sandoz (China) Pharmaceutical Co.,Ltd.,Zhongshan,USD,57.6 m,100%"
Colombia,Novartis de Colombia S.A., Santafé de Bogotá,COP,7.9 bn,100%
Croatia,Sandoz d.o.o. farmaceutska industrija, Zagreb,HRK,25.6 m,100%
Czech Republic,Novartis s.r.o., Prague,CZK,51.5 m,"100%,Sandoz s.r.o.,Prague,CZK,44.7 m,100%"
Denmark,Novartis Healthcare A/S, Copenhagen,DKK,14.0 m,"100%,Sandoz A/S,Copenhagen,DKK,12.0 m,100%"
Ecuador,Novartis Ecuador S.A., Quito,USD,4.0 m,100%
Egypt,Novartis Pharma S.A.E., Cairo,EGP,1.3 bn,"99.96%,Sandoz Egypt Pharma S.A.E.,New Cairo City,EGP,250 000,100%"
Finland,Novartis Finland Oy, Espoo,EUR,459 000,100%
