2021,Number of shares in millions,Weighted average fair value at grant date in USD,2020,Number of shares in millions,Weighted average fair value at grant date in USD
Annual Incentive,RSU,0.2,87.5,0.3,86.8
,Restricted shares,0.1,97.0,0.1,96.0
Share savings plans,RSU,0.4,86.9,0.4,87.0
,Shares,1.1,97.0,1.4,96.0
Select North America (RSU),4.3,86.9,3.3,86.7,
Select outside North America,RSU,1.8,86.9,1.5,87.0
,Restricted shares,0.6,97.0,0.5,96.0
Long-Term Performance Plan (PSU),1.8,89.5,2.5,85.1,
Long-Term Relative Performance Plan ^1,0.2,0.0,0.0,0.0,
Other share awards,RSU,0.6,78.4,1.3,77.0
,Restricted shares,0.1,88.7,0.1,88.7
,Shares,0.1,91.9,0.1,88.5
