,Average price Total number of paid per share shares purchased,Total number of shares purchased as part of publicly announced plans or in USD programs,(CHF millions),Maximum approximate value of shares that may yet be purchased under the plans or programs,Maximum approximate value of shares that may yet be purchased under the plans or programs (USD millions)
2021 Jan. 1-31,(a)1 7732 607,(b) 94.95,(c）² 6700000,(d 1558,(e)3 1752
Feb. 1-28,7257307,90.14,7035 000,990,1094
Mar. 1-31,5903009,85.17,5874 668,9534,10 114
Apr.1-30,17 477,87.51,,9534,10495
May 1-31,18391,87.04,,9534,10596
Jun. 1-30,8 614128,91.82,8 600 000,8819,9 574
Jul. 1-31,10 091,90.67,,8819,9725
Aug. 1-31,65881,91.72,,8819,9635
Sep.1-30,26306,92.02,,8819,9444
Oct.1-31,37854,83.19,,8819,9 670
Nov. 1-30,23040,84.65,,8819,9578
Dec. 1-31,2 508 872,86.98,2 490 000,8 620,9426
