"As at December 31,2021",,Share capital1,Equity interest
Algeria,Algeria,Algeria,Algeria
"Societé par actions SANDOZ, Algiers",DZD,650.0m,100%
Argentina,ARS,906.1m,100%
"Novartis Argentina S.A., Buenos Aires","Novartis Argentina S.A., Buenos Aires","Novartis Argentina S.A., Buenos Aires","Novartis Argentina S.A., Buenos Aires"
Australia,,,
"Novartis Australia Pty Ltd, Macquarie Park, NSW",AUD,2,100%
Novartis Pharmaceuticals,,,
"Australia Pty Ltd, Macquarie Park, NSW",AUD,3.8m,100%
"Sandoz Pty Ltd, Macquarie Park, NSW",AUD,11.6 m,100%
Austria,Austria,Austria,Austria
"Novartis Austria GmbH, Vienna",EUR,1.0m,100%
"NovartisPharma GmbH,Vienna",EUR,1.1m,100%
"Sandoz GmbH, Kundl",EUR,32.7m,100%
"EBEWE Pharma Ges.m.b.H Nfg. KG, Unterach am Attersee",EUR,1.0m,100%
"Bangladesh Novartis (Bangladesh) Limited, Gazipur","Bangladesh Novartis (Bangladesh) Limited, Gazipur","Bangladesh Novartis (Bangladesh) Limited, Gazipur","Bangladesh Novartis (Bangladesh) Limited, Gazipur"
,BDT,162.5m,60%
"Belgium Novartis Pharma NV, Vilvoorde",EUR,7.1m,100%
"Sandoz NV, Vilvoorde",EUR,19.2 m,100%
Alcon-CouvreurNvPuur,EUR,110.6m,100%
Bermuda,Bermuda,Bermuda,Bermuda
"Novartis Investment Ltd., Hamilton²",USD,12000,100%
,CHF,30000,100%
"Novartis Securities Investment Ltd., Hamilton",CHF,20000,100%
"Novartis Finance Services Ltd., Hamilton",CHF,1.0m,100%
"Triangle International Reinsurance Limited, Hamilton Trinity River InsuranceCoLtd., Hamilton",USD,370 000,100%
"Brazil Novartis Biociencias S.A., Sao Paulo",BRL,507.1m,100%
"Sandoz do Brasil Industria FarmacéuticaLtda., Cambe,PR",BRL,190.0m,100%
Canada,,,
"Novartis Pharmaceuticals Canada Inc., Dorval, Quebec",CAD,1.2m,100%
"Sandoz Canada Inc., Boucherville, Quebec",CAD,80.8m,100%
"Sandoz Manufacturing Inc., Boucherville, Quebec",CAD,65.7m,100%
Chile,,,
"Novartis Chile S.A., Santiago de Chile","Novartis Chile S.A., Santiago de Chile","Novartis Chile S.A., Santiago de Chile","Novartis Chile S.A., Santiago de Chile"
China,CLP,2.0bn,100%
"Beijing NovartisPharmaCo.,tdeing",USD,30.0m,100%
"Novartis Pharmaceuticals (HK) Limited,Hong Kong",HKD,200,100%
China Novartis Institutes for,USD,320.0m,
"BioMedical Research Co.,Ltd.,Shanghai",,,100%
"Suzhou Novartis Technical DevelopmentCo.,Ltd.,Changshu",USD,12.0m,100%
"Shanghai Novartis Trading Ltd., Shanghai",USD,3.2m,100%
Sandoz (China) Pharmaceutical,,,
"Co.,Ltd., Zhongshan",USD,57.6m,100%
Colombia,Colombia,Colombia,Colombia
"Novartis de Colombia S.A., Santafé de Bogota",COP,7.9 bn,100%
"Croatia Sandoz d.o.o.farmaceutska industrija,Zagreb",HRK,25.6m,100%
Czech Republic,,,
"Novartiss.r.o., Prague",CZK,51.5m,100%
"Sandoz s.r.o.,Prague",CZK,44.7m,100%
Denmark,,,
"Novartis Healthcare A/S,Copenhagen",DKK,14.0m,100%
"Sandoz A/S, Copenhagen",DKK,12.0m,100%
Ecuador,,,
"Novartis Ecuador S.A., Quito","Novartis Ecuador S.A., Quito","Novartis Ecuador S.A., Quito","Novartis Ecuador S.A., Quito"
,USD,4.0m,100%
Egypt,EGP,1.3 bn 99.96%,
"Novartis Pharma S.A.E., Cairo","Novartis Pharma S.A.E., Cairo","Novartis Pharma S.A.E., Cairo","Novartis Pharma S.A.E., Cairo"
"Sandoz Egypt Pharma S.A.E., New Cairo City",EGP,250 000,
,,,100%
Finland,Finland,Finland,Finland
,,EUR 459000,
