Compound/ Common Mechanism,Compound/ Common Mechanism,Compound/ Common Mechanism,Compound/ Common Mechanism,Compound/ Common Mechanism,Compound/ Common Mechanism,entered current phase,Yearproject phase,Planned filing development dates/current,,
product,name,of action,Potential indication,Business franchise,,,,,,
Jakavi,ruxolitinib,JAK1/2 inhibitor,Acute graft-versus-host disease,Hematology,Oral,entered current phase,Yearproject phase,Planned filing development dates/current,2021,EU registration
KAE609,cipargamin,PfATP4 inhibitor,"Chronic graft-versus-host disease Malaria,uncomplicated",Hematology Established,Oral,2021,EU registration ≥2026/Il,,,
,,,,Medicines,Oral,2017,,,,
,,,"Malaria, severe",Established Medicines,Oral,20196,≥2026/Il,,,
KAF156,,ganaplacide Imidazolopiperazines derivative,"Malaria,uncomplicated Hormone receptor-positive",Established Medicines,Oral,2017,≥2026/,,,
Kisqali,ribociclib,CDK4 inhibitor,(HR+)/human epidermal growth factor receptor 2-negative (HER2-) early breast cancer (adjuvant),Solid Tumor,Oral,2018,2023/I,,,
Kymriah,tisagen- lecleucel,CD19 CAR-T,Relapsed/refractory follicular lymphoma,Hematology,Intravenous infusion,2021,US/EU registration,,,
Leqvio,inclisiran,SiRNA (regulation of LDL-C),Secondary prevention of cardiovascular events in patients with elevated levels of LDL-C,"Cardiovascular, Renal and Metabolism",Subcutaneous injection 2018,,≥2026/I,,,
LJN452,"tropifexor, licogliflozin (in fixed-dose combination)",FXR agonist and SGLT1/2 inhibitor,Nonalcoholic steatohepatitis,"Immunology, Hepatology and Dermatology",Oral,2019,≥2026/Il,,,
LMI070,branaplam,mRNA splicing modulator,Huntington's disease7,Neuroscience,Oral,2021,≥2026/Il,,,
LNA043,TBD,,Knee osteoarthritis&,"Immunology, Hepatology and Dermatology",Intra-articular,2021,≥2026/Il,,,
LNP023,iptacopan,CFB inhibitor,IgA nephropathy,"Cardiovascular, Renal and Metabolism",Oral,2021,2023/I,,,
,,,C3 glomerulopathy,"Cardiovascular, Renal and Metabolism",Oral,2021,2023/I,,,
,,,Paroxysmal nocturnal hemoglobinuria Membranous nephropathy,"Hematology Cardiovascular,",Oral,2021,2023/I,,,
,,,,Renal and Metabolism,Oral,2019,≥2026/Il,,,
LOU064,,,Atypical hemolytic uremic syndrome9,Hematology,Oral,2021,2025/I,,,
,remibrutinibBTK inhibitor,,Chronic spontaneous urticaria,"Immunology, Hepatology and Dermatology",Oral,2021,2024/I,,,
,,,Sjogren's syndrome,"Immunology, Hepatology and Dermatology",Oral,2019,≥2026/Il,,,
Lutathera,lutetium,Radioligand therapy,Multiple sclerosis 10 Gastroenteropancreatic,Neuroscience Solid Tumor,Oral Intravenous infusion,2021 2020,2025/I 2023/,,,
,Lu 177 dotatate/ lutetium (177Lu),targeting SSTR,"neuroendocrine tumors, 1st line in G2/3 tumors",,,,,,,
