Goodwill,Total,In-process research and development,Technologies,Currently marketed products,Other intangible assets,Total
Cost,"January 1, 2021",30321,6893,1115,57333,"2384,67725"
Cost,Impact of acquisitions of businesses,238,262,292,98,652
Cost,Reclassifications ^1,0,-20,15,5,
Cost,Additions,958,270,508,1736,
Cost,Disposals and derecognitions ^2,0,-433,-22,-455,
Cost,Currency translation effects,0,-80,-50,-1254,"-63,-1447"
Cost,"December 31, 2021",29900,8013,1080,56213,"2905,68211"
Accumulated amortization,"January 1, 2021",-322,-2193,-885,-26566,"-1272,-30916"
Accumulated amortization,Amortization charge,0,-41,-3607,-255,-3903
Accumulated amortization,Accumulated amortization on disposals and derecognitions ^2,0,397,21,418,
Accumulated amortization,Impairment charge,0,-350,-17,-1,"-35,-403"
Accumulated amortization,Currency translation effects,0,29,40,670,"36,775"
Accumulated amortization,"December 31, 2021",-305,-2514,-903,-29107,"-1505,-34029"
Accumulated amortization,"Net book value at December 31, 2021",29595,5499,177,27106,"1400,34182"
