(USD millions),20191
Net sales to third parties from discontinued operations,1777
Sales to continuing segments,32
Net sales from discontinued operations,1809
Cost of goods sold,-860
Gross profit from discontinued operations,949
"Selling, general and administration",-638
Research and development,-142
Other income,15
Other expense,-113
Operating income from discontinued operations,71
Interest expense,-10
Other financial income and expense,-3
Income before taxes from discontinued operations,58
Income taxes,-159
Net loss from discontinued operations before gain on distribution of Alcon Inc. to Novartis AG shareholders,- 101
Gain on distribution of Alcon Inc.to Novartis AG shareholders ²,4691
Net income from discontinued operations,4590
