,Variable compensation1,Variable compensation1,Variable compensation1
,2021 Annual Incentive (performance achieved) Equity,LTPP 2021-2023 cycle PSUs,Other Equity/PSUs
"Executive Committee members active on December 31, 2021",(number)2,(target number)3,(number)
Vasant Narasimhan,16 999,66939,0
James Bradner,8462,30644,0
"Karen Hale (from May15,2021)",3341,17823,0
Harry Kirsch,13598,32 451,0
"Robert Kowalski (from September1,2021)",1348,5067,0
Steffen Lang Klaus Moosmayer,9763,18254,0
,3237,12 034,0
Richard Saynor,2515,17 364,0
Susanne Schaffert,10162,24 626,0
John Tsai,3928,25492,0
Marie-France Tschudin,9033,23599,0
Robert Weltevreden,3829,15022,0
Total,86215,289315,0
"Executive Committee members who stepped down during 2021 Steven Baert (until June 30,2021)4",,,
,0,4909,0
"Bertrand Bodson (until January 31,2021) 5 Shannon Thyme Klinger (until March 15, 2021)6",0,0,0
,0,3253,0
Subtotal Total,0 1,8162 8162,0 0
