Assets,"Dec 31, 2021","Dec 31, 2020"
"Property, plant and equipment",11545,12263
Right-of-use assets,1561,1676
Goodwill,29595,29999
Intangible assets other than goodwill,34182,36809
Investments in associated companies,205,9632
Deferred tax assets,3743,3933
Financial assets and other non-current assets,5246,3793
Total non-current assets,86077,98105
Inventories,6666,7131
Trade receivables,8005,8217
Other current assets and income tax receivables,2718,2762
" Marketable securities, commodities, time deposits and derivative financial instruments",15922,1905
Cash and cash equivalents,12407,9658
Total current assets,45718,29673
Total assets,131795,127778
Equity and liabilities,Total equity,"67822,56666"
Liabilities,Financial debts,"22902,26259"
Lease liabilities,1621,1719
Deferred tax liabilities,3070,3141
Provisions and other non-current liabilities,6172,6934
Total non-current liabilities,33765,38053
Trade payables,5553,5403
Financial debts and derivative financial instruments,6295,9785
Lease liabilities,275,286
Provisions and other current liabilities and current income tax liabilities,18085,17585
Total current liabilities,30208,33059
Total liabilities,63973,71112
Total equity and liabilities,131795,127778
