Non-current financial debts,Current financial debts and derivative financial instruments,Non-current lease liabilities,Current lease liabilities,"January 1, 2020"
20353,7031,1703,246,Increase in non-current financial debts
7126,-,-,-,Repayments of non-current financial debts
-,2261,-,-,Change in current financial debts
-,-,-,-312,"Payments of lease liabilities, net"
-,-,-,-56,Interest payments for amounts included in lease liabilities classified as cash flows from operating activities
-,221,73,8,"New, modified and terminated leases, net"
-,32,36,8,Impact of acquisitions of businesses
-,-,-1,-30,"Changes in fair values, lease interest and other changes, net"
-,16,5,65,Amortization of bonds discount
832,392,39,12,Currency translation effects
-2067,2067,-250,250,"Reclassification from non-current to current, net"
26259,9785,1719,286,"December 31, 2020"
