,Year ended,Year ended,Year ended,Change in USD %,Change in constant currencies %1
,"Dec 31,2021","Year ended Dec31,2020",,Change in USD %,Change in constant currencies %1
(USD millions unless indicated otherwise) Net sales from continuing operations,51626,48659,,6,4
Other revenues,1251,1239,,1,1
Cost of goods sold,-15867,-15121,,-5,-3
Gross profit from continuing operations,37010,34 777,,6,5
"Selling, general and administration",-14886,-14 197,,-5,-3
Research and development,-9540,-8980,,-6,-5
Other income,1852,,1742,6,6
Other expense,-2747,-3190,,14,14
Operating income from continuing operations,11 689,10152,,15,13
% of net sales to third parties,22.6,,20.9,,
Income from associated companies,15 339,,673,nm,nm
Interest expense,-811,,-869,7,6
Other financial income and expense,-80,,-78,-3,44
Income before taxes from continuing operations,26137,,9878,165,163
Income taxes,-2119,,-1807,-17,-17
Netincome,24018,,8071,198,195
Attributable to:,,,,,
Shareholders of Novartis AG,24021,,8072,198,195
Non-controlling interests,-3,,-1,-200,-200
Total basic earnings per share (USD),10.71,,3.55,202,200
Net cash flows from operating activities from continuing operations,15 071,13650,,10,
Free cash flow1,13282,11691,,14,
