(USD millions),2021,2020
Net cash flows from operating activities from continuing operations,15071,13650
Net cash flows from/used in investing activities from continuing operations,4208,-13055
Net cash flows used in investing activities from discontinued operations,,-127
Net cash flows used in financing activities from continuing operations,-16264,-2158
Net cash flows used in financing activities from discontinued operations,,-50
Effect of exchange rate changes on cash and cash equivalents,-266,286
Net change in cash and cash equivalents,2749,-1454
"Change in marketable securities,commodities,time deposits and derivative financial instruments",14017,1571
Change in current and non-current financial debts and derivative financial instruments,6847,-8 660
Change in net debt,23613,-8543
Net debt at January 1,-24481,-15938
Net debt at December 31,-868,-24481
