Pension plans,Other post-employment benefit plans,2021,2020,2021,2020
Net liability at January 1,-3 336,-3 321,-543,-612,
Current service cost,-415,-372,-11,-11,
Net interest expense,-47,-58,-14,-16,
Administrative expenses,-24,-24,,,
Past service costs and settlements,-70,117,3,-1,
Remeasurements,2 071,21,70,109,
Currency translation effects,139,-190,1,7,
Novartis Group contributions,490,464,7,-20,
Effect of acquisitions, divestments or transfers,-23,11,1,"1,"
Change in limitation on recognition of fund surplus,-10,16,,,
Net liability at December 31,-1 225,-3 336,-487,-543,
