Payments due by period,Payments due by period,Payments due by period,Payments due by period,Payments due by period
(USD millions),Total,Less than 1year,2-3 years,After 4-5years 5years
"Non-current financial debt, including current portion",25523,2621,4486,3977
"Interest on non-current financial debt, including current portion",6063,527,913,14439 715 3908
"Lease liabilities, non-current and current portion",,,261,982
,1896,275,378,
"Interest on lease liabilities, non-current and current portion",1453,49,78,65 1261
Commitments for leases not yet commenced,134,2,10,22 100
Unfunded pensions and other post-employment benefit plans,1614,110,214,207 1083
Research and development potential milestone commitments,6743,602,1560,742 3839
Contingent consideration liabilities,1075,119,304,213 439
"Property, plant and equipment purchase commitments Acquisition of business commitments on transaction",204,159,41,1 3
entered into but not closed in 20211,1500,800,300,400
Total contractual cash obligations,46205,5264,8284,6203 26454
