Drug Name,Active Ingredient,Target/Action,Indication,Medicines,Route of Administration,Year of Approval,Phase
Compound/product\tCommon name\tMechanism of action\tPotential indication\tBusiness franchise\tFormulation/route of administration\tYear project entered current development phase\tPlanned filing dates/current phase,,,,,,,
Jakavi\tRuxolitinib\tJAK1/2 inhibitor\tAcute graft-versus-host disease\tHematology\tOral\t2021\tEU registration,,,,,,,
Jakavi\tRuxolitinib\tJAK1/2 inhibitor\tChronic graft-versus-host disease\tHematology\tOral\t2021\tEU registration,,,,,,,
KAE609\tCipargamin\tPfATP4 inhibitor\tMalaria,uncomplicated\tEstablished Medicines\tOral\t2017\t≥2026/II,,,,,,
KAE609\tCipargamin\tPfATP4 inhibitor\tMalaria,severe\tEstablished Medicines\tOral\t2019\t≥2026/II,,,,,,
KAF156\tGanaplacide\tImidazolopiperazines derivative\tMalaria,uncomplicated\tEstablished Medicines\tOral\t2017\t≥2026/II,,,,,,
Kisqali\tRibociclib\tCDK4 inhibitor\tHormone receptor-positive (HR+)/human epidermal growth\tSolid Tumor\tOral\t2018\t2023/III,,,,,,,
Kisqali,ribociclib,CDK4 inhibitor,Hormone receptor-positive (HR+)/human epidermal growth factor receptor 2-negative (HER2-) early breast cancer (adjuvant),Solid Tumor,Oral,2018,2023/III
Kymriah,tisagen-lecleucel,CD19 CAR-T,Relapsed/refractory follicular lymphoma,Hematology,Intravenous infusion,2021,US/EU registration
Leqvio,inclisiran,siRNA (regulation of LDL-C),"Secondary prevention of cardiovascular events in patients with elevated levels of LDL-C/Cardiovascular, Renal and Metabolism",Subcutaneous injection,2018,≥2026/III,
LJN452,"tropifexor, licogliflozin (in fixed-dose combination)",FXR agonist and SGLT1/2 inhibitor,Nonalcoholic steatohepatitis,"Immunology, Hepatology and Dermatology",Oral,2019,≥2026/II
LMI070,branaplam,mRNA splicing modulator,Huntington's disease7,Neuroscience,Oral,2021,≥2026/II
LNA043,TBD,ANGPTL3 agonist,Knee osteoarthritis8,"Immunology, Intra-articular",2021,≥2026/II,
LMI070\tbranaplam\tmRNA splicing modulator\tHuntington's disease\tNeuroscience\tOral\t2021\t≥2026/II,,,,,,,
LNA043\tTBD\tANGPTL3 agonist\tKnee osteoarthritis\tImmunology,Hepatology and Dermatology\tIntra-articular\t2021\t≥2026/II,,,,,,
LNP023\tiptacopan\tCFB inhibitor\tIgA nephropathy\tCardiovascular,Renal and Metabolism\tOral\t2021\t2023/III,,,,,,
\t\t\t\tC3 glomerulopathy\tCardiovascular,Renal and Metabolism\tOral\t2021\t2023/III,,,,,,
\t\t\t\tParoxysmal nocturnal hemoglobinuria\tHematology\tOral\t2021\t2023/III,,,,,,,
\t\t\t\tMembranous nephropathy\tCardiovascular,Renal and Metabolism\tOral\t2019\t≥2026/II,,,,,,
\t\t\t\tAtypical hemolytic uremic syndrome\tHematology\tOral\t2021\t2025/III,,,,,,,
LGN024\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,,,,
Renal and Metabolism,Atypical hemolytic uremic syndrome^9,Hematology,Oral,2021,2025/III,,
Renal and Metabolism,Chronic spontaneous urticaria,"Immunology, Hepatology and Dermatology",Oral,2021,2024/III,,
Renal and Metabolism,Sjögren's syndrome,"Immunology, Hepatology and Dermatology",Oral,2019,≥2026/II,,
Renal and Metabolism,Multiple sclerosis^10,Neuroscience,Oral,2021,2025/III,,
Lutathera,lutetium Lu 177 dotatate/ lutetium (177Lu) oxodotreotide,Radioligand therapy targeting SSTR,"Gastroenteropancreatic neuroendocrine tumors, 1st line in G2/3 tumors",Solid Tumor,"Intravenous infusion,2020,2023/III",,
(177Lu)\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,,,,
