USD millions,Level 1,Level 2,Level 3,Total
Financial assets,,,,
Debt securities,2 010,,,
Cash and cash equivalents,2 010,,,
Marketable securities – debt securities,2 719,22,2 741,
Total marketable securities,2 719,22,2 741,
Derivative financial instruments,105,,,
Total marketable securities\t2 719\t22\t2 741,,,,
Derivative financial instruments\t105\t105,,,,
Total marketable securities and derivative financial instruments\t2 719\t127\t2 846,,,,
Debt and equity securities\t1 080\t617\t1 697,,,,
Fund investments\t28\t338\t366,,,,
Contingent consideration receivables\t641\t641,,,,
Total long-term financial investments\t1 108\t1 596\t2 704,,,,
Associated companies at fair value through profit and loss\t192\t192,,,,
Total long-term financial investments    1 108    1 996    2 704,,,,
Associated companies at fair value through profit and loss    192    192,,,,
Financial liabilities,,,,
Contingent consideration payables    - 1 075    - 1 075,,,,
Other financial liabilities    - 19    - 19,,,,
Derivative financial instruments    - 68    - 68,,,,
Total financial liabilities at fair value    - 68    - 1 094    - 1 162,,,,
