USD millions,"Property, plant and equipment",Intangible assets of employees,Pensions and other benefit obligations of employees,Inventories,Tax loss carry-forwards,"Other assets, provisions and accruals",Total
"Gross deferred tax assets at January 1, 2021",189,1 351,1 137,2 502,507,2 658,8 344
"Gross deferred tax liabilities at January 1, 2021",-430,-5 269,-340,-159,-10,-1 344,-7 552
"Net deferred tax balance at January 1, 2021",-241,-3 918,797,2 343,497,1 314,792
"At January 1, 2021",-241,-3 918,797,2 343,497,1 314,792
Credited/(charged) to income,-27,567,-22,-215,-121,127,309
Charged to equity,-35,-35,,,,,
Credited/(charged) to other comprehensive income,-323,6,-317,,,,
Impact of acquisitions of businesses,-58,12,-46,,,,
Other movements,12,12,-17,-3,-14,-20,-30
Other movements,12,12,"-17,-3,-14,-20,-30",,,,
"Net deferred tax balance at December 31, 2021",-256,-3 397,"435,2 125,374,1 392,673",,,,
"Gross deferred tax assets at December 31, 2021",125,1 307,"1 026,2 273,374,2 727,7 832",,,,
"Gross deferred tax liabilities at December 31, 2021",-381,-4 704,"-591,-148,-1 335,-7 159",,,,
"After offsetting the following amount of deferred tax assets and liabilities within the same tax jurisdiction, the balance amounts to:",4 089,,,,,,
"Deferred tax assets at December 31, 2021",3 743,,,,,,
"Deferred tax liabilities at December 31, 2021",-3 070,,,,,,
"Net deferred tax balance at December 31, 2021",673,,,,,,
Deferred tax liabilities at December 31,2021    -3 070,,,,,,
Net deferred tax balance at December 31,2021  673,,,,,,
Gross deferred tax assets at January 1,2020    108  1 469  1 078  2 446  255  2 596  7 952,,,,,,
Gross deferred tax liabilities at January 1,2020 -390 -3 610 -291 -287 -7 -1 325 -5 910,,,,,,
Net deferred tax balance at January 1,2020    -282 -2 141  787  2 159  248  1 271  2 042,,,,,,
At January 1,2020                           -282 -2 141  787  2 159  248  1 271  2 042,,,,,,
Credited/(charged) to income                  89   110  -25   212  -164  71   293,,,,,,,
Charged to equity                             9     9    -     -     -     9    9,,,,,,,
Charged to other comprehensive income          -     -    -3    -     -36   -39,,,,,,,
Impact of acquisitions of businesses           5    -1 945 -3    408   34   -1 501,,,,,,,
Other movements                               -53   58    38   -25   5    -35  -12,,,,,,,
Net deferred tax balance at December 31,2020 -241 -3 918  797  2 343  497  1 314  792,,,,,,
tsv,,,,,,,
Impact of acquisitions of businesses,5,-1 945,-3,408,34,-1 501,
Other movements,-53,58,38,-25,5,-35,-12
"Net deferred tax balance at December 31, 2020",-241,-3 918,797,2 343,497,1 314,792
"Gross deferred tax assets at December 31, 2020",189,1 351,1 137,2 502,507,2 658,8 344
"Gross deferred tax liabilities at December 31, 2020",-430,-5 269,-340,-159,-10,-1 344,-7 552
"After offsetting the following amount of deferred tax assets and liabilities within the same tax jurisdiction, the balance amounts to:1",4 411,,,,,,
"Deferred tax assets at December 31, 2020",3 933,,,,,,
"Deferred tax liabilities at December 31, 2020",-3 141,,,,,,
"Net deferred tax balance at December 31, 2020",792,,,,,,
