,financial debts and derivative,,,
,Non-current financial,financial instruments,Non-current lease liabilities,Current lease
(USD millions),debts,,,liabilities
"January 1,2021",26259,9785,1719,286
Increase in non-current financial debts,16,,,
Repayments of non-current financial debts,,-2162,,
Change in current financial debts,,-3524,,
"Payments of lease liabilities, net Interest payments for amounts included in lease liabilities",,,,-316
classified as cash flows from operating activities,,,,-52
"New, modified and terminated leases, net",,,192,61
Impact of acquisitions of businesses,,1,,
"Changes in fair values,lease interest and other changes, net",,-124,,62
Amortization of bonds discount Currency translation effects,25,4,,
,-774,-309,-43,-13
"Reclassification from non-current to current, net",-2 624,2624,-247,247
"December31,2021",22902,6295,1621,275
