2021 USD m,2020 USD m,Change (2020 to 2021) USD %,Change (2019 to 2020) USD %,"Cardiovascular, Renal and Metabolism"
Entresto,3548,2497,42,1726
Leqvio,12,nm,45,
Other,1,nm,-96,
"Total Cardiovascular, Renal and Metabolism",3560,2498,43,1750
Respiratory and Allergy,,,,
Xolair,1428,1251,14,1173
Ultibro Group,584,623,-6,630
Other,53,26,104,22
Total Respiratory and Allergy,2065,1900,9,1825
Established Medicines,,,,
Galvus Group,1092,1199,-9,1297
Exforge Group,901,980,-8,1025
Diovan Group,773,1003,-23,1064
Zortress/Certican,431,452,-5,485
Voltaren/Cataflam,373,360,4,417
Neoral/Sandimmun(e),368,393,-6,419
Contract manufacturing,108,nm,108,
Other,1689,1916,-12,2291
Total Established Medicines,5735,6303,-9,6998
Total Novartis Pharmaceuticals business unit,26519,24302,9,23344
Total division net sales,41995,39013,8,37714
