,2021,2021,2021
(USD millions),Level 1,Level 2,Level3
Financial assets,,,
Debt securities 1,2010,,2010
Cash and cash equivalents,2010,,2010
Marketable securities -debt securities,2719,22,2 741
Total marketable securities,2719,22,2741
Derivative financial instruments,,105,105
Total marketable securities and derivative financial instruments,2719,127,2846
Debt and equity securities,1080,,1697
Fund investments,28,,366
Contingent consideration receivables,,,641
Total long-term financial investments,1108,641 1596,2 704
Associated companies at fair value through profit and loss,,192,192
Financial liabilities,,,
Contingent consideration payables,,-1075,-1075
Other financial liabilities,,-19,-19
Derivative financial instruments Total financial liabilitiesat fair value,,-68 -68 -1094,-68 -1162
