,"% holding of share capital Dec 31,2021","% holding of share capital Dec 31,2020"
Shareholders registered as nominees:,,
"Chase Nominees Ltd., London",8.8,9.6
"The Bank of New York Mellon,New York",3.0,3.4
"ThroughTheBankofNew YorkMellon,Everett",1.6,1.7
"Through The Bank of New York Mellon,New York",1.1,1.2
"Through The Bank of New York Mellon, SA/NV, Brussels",,
"Nortrust Nominees Ltd., London",0.3,0.5
,4.2,4.2
Shareholder acting as American Depositary Share (ADS) depositary:,,
"JPMorgan Chase Bank,N.A., New York",11.1,11.7
