,Currency,Cash (amount),Cash (amount),Cash (amount),(value at Equlty grantdate)²,(value at Equlty grantdate)²,(target value Amount4,Amount5
,Currency,,Amount1,Cash (amount),,at grant date)3,(target value Amount4,Amount5
"Executive Committee members active on December 31,2021",,,,,,,,
Vasant Narasimhan,CHF,1769 200,176731,1328 625,1328 642,5757423,265401,10 626 023
James Bradner6,USD,1184462,367246,712802,712839,2970016,92286,6039652
"Karen Hale (from May15,2021)",CHF,519750,85987,261062,261133,1442371,542 689,3112992
Harry Kirsch,CHF,1072084,177174,354255,1062820,2791111,43617,5501060
"Robert Kowalski (from September1,1)8",CHF,233333,49692,105288,105360,448824,180428,1122925
Steffen Lang,CHF,780833,180413,508680,763076,1570027,14430,3817459
Klaus Moosmayer,CHF,566667,198992,253000,253004,1035044,49850,2356557
Richard Saynor,CHF,785000,190263,196500,196572,1493478,416 693,3278506
Susanne Schaffert,CHF,881333,180837,88250,794262,2118082,856650,4919415
John Tsai,CHF CHF,875834 881333,186807 164980,306950 706000,307012,2192567,201307,4070477
Marie-France Tschudin,CHF,673333,171352,299200,706019,2029750,1,4488083
Robert Weltevreden,,,,,299275,1292042,1,2735202
Total,,10 121 211,2 098866,5059259,6728 657,24 885096,2 655408,51548498
