Currency,Cash (amount),Amount 1,Cash (amount),Amount 2,Amount 3,Amount 4,Amount 5
CHF,1743750,175102,1318275,1318275,5712549,113841,10381793
CHF,798617,167294,480000,480022,1679265,85587,3690785
CHF,634834,177088,256000,256052,1152115,131745,2607834
USD,1203654,373063,768900,768963,2911862,88472,6114914
CHF,1063433,171930,585750,585814,2769330,50294,5226551
CHF,862500,182852,525000,525005,1925517,32773,4053647
CHF,758333,171130,228000,684038,1367619,12918,3222037
CHF,520833,184884,241500,241516,840004,29496,2058233
CHF,778333,190372,390000,390055,1482060,1737100,4967920
CHF,871250,173111,341445,796797,2013669,581188,4777460
CHF,868333,182517,478500,478560,2175855,104669,4288434
CHF,871250,182216,437750,437791,2013669,-,3942677
CHF,634834,186392,215040,399430,1152115,2925,2590735
CHF,11536583,2495208,6219290,7315444,27018132,2965615,57550273
