(USD millins),Note,2021,2020,2019
Net income from continuing operations Adjustments to reconcile net income from continuing operations to,,24018,8071,7147
netcash flows fromoperatingactivitiesfromcontinuingoperations,,,,
Reversal of non-cash items and other adjustments,23.1,-5299,9881,9122
Dividends received from associated companies and others,,525,490,463
Interest received,,13,47,214
Interest paid,,-664,-703,-793
Other financial receipts,,,464,28
Other financial payments,,-302,-39,-33
Income taxes paid,23.2,-2342,-1833,-1876
Netcash flowsfrom operating activities from continuing operations before working capital and provision changes,,15949,16378,14 272
Payments out of provisions and other net cash movements in non-currentliabilities,,-1119,-2437,-924
Changein net current assets and other operating cash flow items,23.3,241,-291,199
Net cash flows from operating activities from continuing operations,,15071,13650,13 547
Net cash flows from operating activities from discontinued operations,,,,78
Net cash flows from operating activities,,15071,13650,13625
"Purchases of property,plantandequipment",,-1378,,
"Proceeds fromsale of property,plant and equipment",,240,-1275,-1379
Purchases of intangible assets,,-1593,88 -1310,857
Proceeds from sale ofintangible assets,,,,-878
Purchases of financial assets,,748,380,973
Proceeds from sale ofinancial assets,,-191,-230,-302
Purchases of other non-current assets,,442,723,1152
Proceeds from sale of other non-current assets,,-61,-61,-60
"Divestments and acquisitions of interests in associated companies, net",23.4,4,2,3
"Acquisitions and divestments of businesses,net",23.5,20669 -567,-7,-6
"Purchases of marketable securities, commodities and time deposits",,,-9957,-3760
"Proceeds from sale of marketable securities, commodities and time deposits",,-16403,-1900,-228
Net cash flows from/used in investing activities from continuing operations,,2298,492 -13055,2561
Net cash flows used in investing activities from discontinued operations,30,4208,,-1067
Net cash flows from/used in investing activities,,,-127,-1159
Dividends paid to shareholders of Novartis AG,,4208,-13182,-2226
Acquisitions of treasury shares,,-7368,-6987,-6645
"Proceeds from exercised options and other treasury share transactions, net",,-3057,-2842,-5533
Increase in non-current financial debts,,53,748,201
Repayments of non-current financial debts,23.6,16,7126,93
Change in current financial debts,23.6,-2162,-2003,-3195
"Payments of lease liabilities, net",23.6,-3524,2261,-1582
Impact of change in ownership of consolidated enties,23.6,-316,-312,-273
"Other financing cash flows, net",,-3,-2,-6
Net cash flows used in financing activities from continuing operations,,97,-147,56
Net cash flows used in/from financing activities from discontinued operations,,-16264,-2158,-16884
Net cash flows used in financing activities,30,,-50,3257
Net change in cash and cash equivalents before effect of exchange,,-16264,-2208,-13627
rate changes,,3015,-1740,-2228
Effect of exchange rate changes on cash and cash equivalents Net change in cash and cash equivalents,,-266,286,69
Cash and cash equivalents at January 1,,2749,-1454,-2159 13 271
,,9658,11112,
Cash and cash equivalents at December 31,,12 407,9658,11 112
