Brands,Business franchise,Key indication,US USD m,Rest of world USD m,Total USD m
Cosentyx,"Immunology, Hepatology and Dermatology","Psoriasis, ankylosing spondylitis and psoriatic arthritis",2220,1331,3551
Gilenya,Neuroscience,Relapsing multiple sclerosis,1736,1487,3223
Lucentis,Ophthalmology,Age-related macular degeneration,2086,2086,2086
Tasigna,Hematology,Chronic myeloid leukemia,804,1076,1880
Entresto,"Cardiovascular, Renal and Metabolism",Chronic heart failure,925,801,1726
Sandostatin,Solid Tumor,Carcinoid tumors and acromegaly,881,704,1585
Afinitor/Votubia,Solid Tumor,Breast cancer/TSC,1003,536,1539
Promacta/Revolade,Hematology,"Immune thrombocytopenia (ITP), severe aplastic anemia (SAA)",691,725,1416
Tafinlar + Mekinist,Solid Tumor,BRAF V600+ metastatic and adjuvant melanoma; advanced non-small cell lung cancer (NSCLC),481,857,1338
Galvus Group,Established Medicines,Type 2 diabetes,1297,1297,1297
Gleevec/Glivec,Hematology,Chronic myeloid leukemia and GIST,334,929,1263
Xolair 1,Respiratory and Allergy,Severe allergic asthma (SAA) and chronic spontaneous urticaria (CSU),1173,1173,1173
Jakavi,Hematology,"Myelofibrosis (MF), polycythemia vera (PV)",1114,1114,1114
Diovan Group,Established Medicines,Hypertension,86,978,1064
Exforge Group,Established Medicines,Hypertension,13,1012,1025
Exjade/Jadenu,Hematology,Chronic iron overload,450,525,975
Votrient,Solid Tumor,Renal cell carcinoma,332,423,755
Ilaris,"Immunology, Hepatology and Dermatology","Auto-inflammatory (CAPS, TRAPS, HIDS/MKD, FMF, SJIA, AOSD and gout)",304,367,671
Zortress/Certican,Established Medicines,Transplantation,169,316,485
Kisqali,Solid Tumor,HR+/HER2-metastatic breast cancer,250,230,480
Top 20 products total,,10679,17967,28646,
Rest of portfolio,,3110,5958,9068,
Total division sales,,13789,23925,37714,
