"Year ended Dec 31, 2021","Year ended Dec 31, 2020",Change in USD %,Change in constant currencies %,(USD millions unless indicated otherwise)
Operating income from continuing operations,11 689,10 152,15,
Income from associated companies,15 339,673,nm,"13,Income from associated companies"
Interest expense,- 811,- 869,7,6
Other financial income and expense,- 80,- 78,- 3,44
Income before taxes from continuing operations,26 137,9 878,165,163
Income taxes,- 2 119,- 1 807,- 17,- 17
Net income,24 018,8 071,198,195
Attributable to:,,,,
Shareholders of Novartis AG,24 021,8 072,198,195
Non-controlling interests,- 3,- 1,- 200,- 200
Total basic earnings per share (USD),10.71,3.55,202,200
