,Variable compensationt,Variable compensationt,Variable compensationt
,2020 Annual Incentive (performance achieved),LTPP 2020-2022 cycle,Other
,Equity (number)2,PSUs (target number)3,Equity/PSUs (number)
"Executive Committee members active on December 31, 2020",,,
Vasant Narasimhan,15327,61498,0
Steven Baert,5581,18078,0
Bertrand Bodson,2977,12403,0
James Bradner,7934,30590,0
Harry Kirsch,6811,29813,0
Shannon Thyme Klinger,6104,20729,0
Steffen Lang,7953,14 723,0
Klaus Moosmayer,2808,9043,0
Richard Saynor,4535,15955,0
Susanne Schaffert,9264,21678,0
John Tsai,5564,23424,0
Marie-France Tschudin,5090,21678,0
Robert Weltevreden,4644,12403,0
Total,84 592,292 015,0
