Brands,Business franchise,Key indication,US,Rest of world USDm,Total USDm,
Brands,Business franchise,Key indication,US,Rest of world USDm,Total USDm,USD m
,"Immunology,","Psoriasis,ankylosing spondylitis, psoriatic arthritis",,,,
Cosentyx,Hepatologyand Dermatology,and non-radiographic axial spondyloarthritis,2883,1835,4718,
,"Cardiovascular,",,,,,
Entresto,Renal and Metabolism,Chronic heart failure,1712,1836,3548,
Gilenya,Neuroscience,Relapsing multiple sclerosis,1427,1360,2787,
Lucentis,Ophthalmology,Age-related macular degeneration,,2160,2160,
Tasigna,Hematology,Chronic myeloid leukemia,882,1178,2060,
Promacta/Revolade,Hematology,"Immune thrombocytopenia (ITP), severeaplastic anemia (SAA)",947,1069,2016,
Tafinlar+ Mekinist,,BRAF V600+ metastatic and adjuvant melanoma; advanced non-small celi,,,,
Jakavi,Solid Tumor,"lung cancer (NSCLC) Myelofibrosis (MF), polycythemia vera (PV)",606,1087,1693,
,Hematology,"Severe allergic asthma (SAA), chronic spontaneous urticaria",,1595,1595,
Xolair1,Respiratoryand Allergy,(CSU)and nasal polyps Carcinoid tumors,,1428,1428,
Sandostatin,Solid Tumor,and acromegaly,843,570,1413,
Zolgensma,Neuroscience,Spinal muscular atrophy (SMA),469,882,1351,
Galvus Group,"Established Medicines Immunology,","Type 2 diabetes Auto-inflammatory (CAPS,",,1092,1092,
llaris,Hepatologyand Dermatology,"TRAPS,HIDS/MKD,F, SJIA,AOSD and gout)",501,558,,
Gleevec/Glivec,,Chronic myeloid,,,1059,
Afinitor/Votubia,Hematology Solid Tumor,leukemia and GIST Breast cancer/TSC,263 521,761 417,1024,
Kisqali,,HR+/HER2-,,,938,
Exforge Group,Solid Tumor,metastatic breast cancer,339,598,937,
Diovan Group,Established Medicines Established Medicines,Hypertension Hypertension,14,887,901,
,,r/r pediatric and young,51,722,773,
Kymriah,Hematology,"adults ALL,DLBCL Chronic obstructive",230,357,587,
Ultibro Group,,pulmonary disease,,,,
Top 20 products total,Respiratoryand Allergy,(COPD),11688,584 20976,584,
,,,,,32664,
Rest of portfolio,,,3311,6020,9331,
Total division sales,,,14999,26996,41995,
