Unvested,Unvested,Unvested,Total at,Total at,Total at,"Unvested Totalat December 31,"
,Vested shares and ADRs,shares and other equity rights2,"December 31, 2021",Vested shares and ADRs,shares and other,"Unvested Totalat December 31,"
Vasant Narasimhan,170 111,218826,388937,104 277,equity rights2 253770,2020 358047
James Bradner,43744,110808,154552,69551,124998,194549
"Karen Hale (from May15,2021)",,9059,9059,0,0,0
Harry Kirsch,0 285186,113110,398296,198 331,,318234
"Robert Kowalski (from September 1,2021)",,37562,37562,,119903,
Steffen Lang,。,65918,191204,0,0,0
Klaus Moosmayer,125286,34732,43044,81714,61682,143396
Richard Saynor,8312,33713,33713,6011,21977,27 988
Susanne Schaffert,0,87801,203974,0 106981,23324,23324
,116 173,87461,110843,,76392,183373
John Tsai,23382,84863,124216,17783 12300,61877,79660
Marie-France Tschudin,39353 27758,44 064,71822,2734,75848,88148
Robert Weltevreden,,927 917,1767222,599682,42 445,45179
Total3,839 305,,,,862 216,1461898
