USD millions,2021,2020
Operating income from continuing operations,11 689,10152
Adjustments for non-cash items,,
"Depreciation, amortization and impairments","6075,6129","6075,6129"
Change in provisions and other non-current liabilities,896,1411
Other,59,260
Operating income from continuing operations adjusted for non-cash items,18 719,17952
Dividends received from associated companies and others,525,490
Interest and other financial receipts,13,511
Interest and other financial payments,-966,-742
Income taxes paid,-2342,-1833
Payments out of provisions and other net cash movements in non-current liabilities,-1119,-2437
Change in inventory and trade receivables less trade payables,-329,-730
Change in other net current assets and other operating cash flow items,570,439
Net cash flows from operating activities from continuing operations,15 071,13650
"Purchases of property, plant and equipment","-1378,-1275","-1378,-1275"
"Proceeds from sale of property, plant and equipment","240,88","240,88"
Purchases of intangible assets,-1593,-1310
Proceeds from sale of intangible assets,748,380
Purchases of financial assets,-191,-230
Proceeds from sale of financial assets^1,"442,447","442,447"
Purchases of other non-current assets,-61,-61
Proceeds from sale of other non-current assets,4,2
Free cash flow,13282,11691
