Albania,France,Lithuania,Slovak Republic
Algeria,Georgia,Luxembourg,Slovenia
Argentina,Germany,Malaysia,South Africa
Armenia,Ghana,Malta,Spain
Australia,Greece,Mexico,Sri Lanka
Austria,Hong Kong,Moldova,Sweden
Azerbaijan,Hungary,Mongolia,Taiwan
Bahrain,Iceland,Montenegro,Tajikistan
Bangladesh,India,Morocco,Thailand
Belarus,Indonesia,Netherlands,Trinidad and Tobago
Belgium,Iran,New Zealand,Tunisia
Brazil,Republic of Ireland,North Macedonia,Turkey
Bulgaria,Israel,Norway,Turkmenistan
Canada,Italy,Oman,Ukraine
Chile,China,Ivory Coast,Pakistan
United Arab Emirates,,,
Colombia,Jamaica,Peru,United Kingdom
,,,
Croatia,Japan,Philippines,United States of America
Kazakhstan,Poland,Ukraine,Uruguay
Cyprus,Republic of Korea,Portugal,Uzbekistan
Czech Republic,(South Korea),Qatar,Venezuela
Denmark,Kosovo,Romania,Vietnam
Ecuador,Kuwait,Russia,Zambia
Egypt,Kyrgyzstan,Saudi Arabia,
Estonia,Latvia,Serbia,
Finland,Liechtenstein,Singapore,
