,Goodwill,Intangible assets other than goodwill,Intangible assets other than goodwill,Intangible assets other than goodwill,Intangible assets other than goodwill
,Goodwill,In-process research and,,Currently marketed,Other intangible
(USD millions),Total,development Technologies,,products,assets Total
Cost,,,,,
"January 1,2021",30 321,6 893,1115 57 333,2384,67 725
Impact of acquisitions of businesses,238,262,,292 98,652
Reclassifications 1,,-20,15,5,
Additions,,958,,270 508,1736
Disposals and derecognitions ²,,,,-433,-22 -455
Currency translation effects,-659,-80,-50,-1254 -63,-1447
"December31,2021",29 900,8013,1080,56213 2905,68 211
"Accumulated amortization January 1,2021",,-2 193,- 885,,
Amortization charge,-322,,- 26 566 -3607,- 1272 -255,- 30 916
Accumulated amortization on disposals,,,-41,,-3903
and derecognitions ²,,,,397 21,418
Impairment charge,,-350,-17,-1 -35,-403
Currency translation effects,17,29,40,670,36 775
"December 31,2021",-305,-2514,-903 -29107,-1505,-34029
"Net book value at December 31, 2021",29595,5499,177 27106,1400,34182
