2021,Total number of shares purchased (a),Average price paid per share in USD (b),Total number of shares purchased as part of publicly announced plans or programs (c),Maximum approximate value of shares that may yet be purchased under the plans or programs (CHF millions) (d),Maximum approximate value of shares that may yet be purchased under the plans or programs (USD millions) (e)
Jan. 1-31,7 732 607,94.95,6 700 000,1 558,1 752
Feb. 1-28,7 257 307,90.14,7 035 000,990,1 094
Mar. 1-31,5 903 009,85.17,5 874 668,9 534,10 114
Apr. 1-30,17 477,87.51,17 477,9 534,10 495
May 1-31,18 391,87.04,18 391,9 534,10 596
Jun. 1-30,8 614 128,91.82,8 600 000,8 819,9 574
Jul. 1-31,10 091,90.67,10 091,8 819,9 725
Aug. 1-31,65 881,91.72,65 881,8 819,9 635
Sep. 1-30,26 306,92.02,26 306,8 819,9 444
Oct. 1-31,37 854,83.19,37 854,8 819,9 670
Nov. 1-30,23 040,84.65,23 040,8 819,9 578
Dec. 1-31,2 508 872,86.98,2 490 000,8 620,9 426
