,"Property, plant and",Pensions and other benefit,Pensions and other benefit,"Tax loss Other assets,","Tax loss Other assets,",,
,"Property, plant and",Intangibleobligations,assets of employees,Inventories,carry-,provisions forwardsand accruals,Total
"(USD millons) Gross deferred tax assets at January 1,2021",equipment 189,1351,1137,2502,507,2658,8344
"Gross deferred tax liabilities at January 1,2021",-430,-5269,-340,- 159,-10,-1344,-7 552
"Net deferred tax balance at January 1,2021",-241,-3918,797,2343,497,1314,792
"At January 1,2021",-241,-3918,797,2343,497,1314,792
Credited/(charged) to income,-27,567,-22,-215,-121,127,309
Charged to equity,,,,,,-35,-35
Credited/(charged) to other comprehensive income,,,-323,,,6,-317
Impact of acquisitions of businesses,,-58,,,12,,-46
Other movements,12,12,-17,-3,-14,-20,-30
"Net deferred tax balance at December 31,2021",-256,-3397,435,2125,374,1392,673
"Gross deferred tax assets at December 31,2021",125,1307,1026,2273,374,2727,7832
"Gross deferred tax liabilitiesat December 31,2021",-381,-4704,-591,-148,,-1335,-7159
"Net deferred tax balance at December 31,2021",-256,-3397,435,2125,374,1392,673
"After offsetting the following amount of deferred tax assets and liabilities within the same tax jurisdiction,",,,,,,,
the balance amounts to:,,,,,,,4089
"Deferred tax assets at December 31,2021 Deferred tax liabilities at December 31,2021",,,,,,,3743
"Net deferred tax balance at December 31,2021",,,,,,,-3070
,,,,,,,673
"Gross deferred tax assets at January 1,2020",,,,,,,
"Gross deferred tax liabilities at January 1,2020",108,1469,1078,2446,255,2596,7952
"Net deferred tax balance at January 1, 2020",-390,-3610,-291,- 287,-7,-1325,-5910
,-282,-2 141,787,2159,248,1271,2042
"At January 1,2020",-282,-2141,787,2159,248,1271,2042
Credited/(charged) to income,89,110,-25,212,-164,71,293
Charged to equity,,,,,,9,9
Charged to other comprehensive income,,,-3,,,-36,-39
Impact of acquisitions of businesses,5,-1945,,-3,408,34,-1501
Other movements,-53,58,38,-25,5,-35,-12
"Net deferred tax balance at December 31,2020",-241,-3918,797,2343,497,1314,792
"Gross deferred tax assets at December 31,2020 Gross deferred tax liabilitiesat December 31,2020",189,1351,1137,2502,507,2658,8344
"Net deferred tax balance at December 31,2020",-430,-5269,-340,-159,-10,-1344,-7552
,-241,-3918,797,2343,497,1314,792
"After offsetting the following amount of deferred tax assetsandliabilities within thesame taxjurisdiction,",,,,,,,
the balance amounts to:1,,,,,,,4411
"Deferred tax assets at December 31,2020",,,,,,,3933
"Deferred tax liabilities at December 31,2020",,,,,,,-3141
"Net deferred tax balance at December 31,2020",,,,,,,792
