ELEMENT OF COMPENSATION POLICY,
Annual Incentive - cash element,"Retirement, termination by the Company (for reasons other than performance or conduct), change of control,disability,death,i.e., ""good leavers"" Pro-rata Annual Incentive is paid to reflect the portion of the year the individual was employed."
Annual Incentive- mandatory,"Voluntary resignation or termination by the Company for misconduct or poor performance Annual Incentive is fully forfeited. Retirement,termination by the Company for reasons other than performance or conduct,and change"
deferral into restricted shares/ RSUs,"of control Awards are released on the original blocking end date.There is no accelerated vesting.All awards are subjectto forfeiture in case a leaver joins a competitor company as defined in the applicable plan rules,"
,"before the end of the three-year blocking date,starting from the date of grant. Death or long-term disability"
,Accelerated vesting is applied.
,Voluntary resignation or termination by the Company for misconduct or poor performance Unvested restricted shares and restricted share units (RSUs) are forfeited.
Annual Incentive-voluntary restricted shares/RSUs/ADRs,Awards are not subject to forfeiture during the deferral period.
(ADRs applicable for US employees only),
Long-Term Incentive (LTPP),"Retirement,termination by the Company for reasons other than performance or conduct,and change of control Awards vest on the regular vesting date,subject to performance,on a pro-rata basis for time spent with"
,"the Company during the performance cycle.There is no accelerated vesting.All awards are subject to forfeiture incase aleaver joins a competitor companyas defined in the applicable plan rules,until the"
,vesting date. Death or long-term disability
,Accelerated vesting at target is applied.
,Voluntary resignation or termination by the Company for misconduct or poor performance
,All of the award is forfeited.
