,Innovative Medicines,Innovative Medicines,Sandoz,Sandoz,Corporate (including eliminations),Corporate (including eliminations),Group,Group
(USD millions),2021,2020,2021,2020,2021,2020,2021,2020
Net sales to third parties,41995,39013,9631,9646,,,51626,48659
Sales to other segments,795,792,180,189,-975,-981,,
Net sales,42790,39805,9811,9835,-975,-981,51626,48 659
Other revenues,1179,1018,61,53,11,168,1251,1239
Cost of goods sold,-11751,-10927,-5147,-5252,1031,1058,-15867,-15121
Gross profit,32218,29896,4725,4636,67,245,37010,34777
"Selling, general and administration",-12 306,-11657,-2062,-2076,-518,,-464-14886,-14197
Research and development,-8641,-8118,-899,-862,,,-9540,-8980
Other income,1149,922,233,176,470,644,1852,1742
Other expense,-1732,-1871,-397,-831,-618,-488,-2747,-3190
Operating income,10 688,9172,1600,1043,-599,-63,11 689,10152
Income from associated companies,,1,2,2,15332,670,15339,673
Interest expense,5,,,,,,-811,-869
Other financial income and expense,,,,,,,-80,-78
Income before taxes,,,,,,,26137,9878
Income taxes,,,,,,,-2119,-1807
Net income,,,,,,,24018,8071
Attributable to:,,,,,,,,
Shareholders of Novartis AG,,,,,,,24021,8072
Non-controlling interests,,,,,,,-3,-1
Included in net income are:,,,,,,,,
Interest income,,,,,,,71,91
Depreciation of propertyplantand equipment,-859,-912,-210,-282,-139,-124,-1208,-1318
Depreciation of right-of-use assets,-265,-273,-39,-41,-14,-16,-318,-330
Amortization of intangible assets,-3638,-3080,-238,-370,-27,-12,-3903,-3462
"Impairment charges on property,plant and equipment, net",-271,-324,-9,-116,-1,,-281,-440
"Impairment charges on intangible assets, net Impairment charges and fair value",-367,-768,-28,-141,-8,-5,-403,-914
"changes on financial assets, net",43,153,,,-5,182,38,335
Additions to restructuring provisions,-240,-217,-62,-98,-26,-39,-328,-354
Equity-based compensation of Novartis equity plans,-721,-714,-65,-64,-193,-180,-979,-958
(USD millions),2020,2019,2020,2019,2020,2019,2020,2019
Net sales to third parties from continuing operations,39013,37714,9646,9731,,,48659,47445
Sales to continuing and discontinued segments,792,783,189,141,-981,-871,,53
Net sales from continuing operations,39805,38497,9835,9872,-981,-871,48 659,47498
Other revenues,1018,1092,53,63,168,24,1239,1179
Cost of goods sold,-10927,-10050,-5252,-5334,1058,,959-15121,-14425
Gross profit from continuing operations,29896,29539,4636,4601,245,112,34 777,34252
"Selling, general and administration",-11657,-11617,-2076,-2218,-464,,-534-14197,-14369
Research and development,-8118,-8152,-862,-1250,,,-8980,-9402
Other income,922,1586,176,167,644,278,1742,2031
Other expense,-1871,-2069,-831,-749,-488,-608,-3190,-3426
Operating income from continuing operations,9172,9287,1043,551,-63,-752,10152,9086
Income from associated companies,1,1,2,2,670,656,673,659
Interest expense,,,,,,,-869,-850
Other financial income and expense,,,,,,,-78,45
Income before taxes from continuing operations,,,,,,,9878,8940
Income taxes,,,,,,,-1807,-1793
Net income from continuing operations,,,,,,,8071,7 147
Net loss from discontinued operations before gain on,,,,,,,,
distribution of Alcon Inc.to Novartis AG shareholders Gain on distribution of Alcon Inc.to Novartis AG shareholders,,,,,,,,-101 4 691
Net income from discontinued operations,,,,,,,,4590
Net income,,,,,,,8071,11737
Attributable to:,,,,,,,,
Shareholders of Novartis AG,,,,,,,8072,11732
Non-controlling interests,,,,,,,-1,5
Included in net income from continuing operations are:,,,,,,,,
Interest income,,,,,,,91,245
"Depreciation of property, plant and equipment",-912,-952,-282,-283,-124,-110,-1318,-1345
Depreciation of right-of-use assets,-273,-247,-41,-41,-16,-17,-330,-305
Amortization of intangible assets,-3080,-2509,-370,-315,-12,-12,-3462,-2836
"Impairment charges on property, plant and equipment, net",-324,-100,-116,-101,,-1,-440,-202
"Impairment charges on intangible assets, net",-768,-632,-141,-506,-5,,-914,-1138
"Impairment charges and fair value changes on financial assets, net",153,18,,,182,20,335,38
Additions to restructuring provisions,-217,-229,-98,-165,-39,-98,-354,-492
Equity-based compensation of Novartis equity plans,-714,-761,-64,-67,-180,-239,-958-1067,
