,Net sales1,Net sales1,Net sales1,Net sales1,Net sales1,Total of selected non-current assets²,Total of selected non-current assets²,Total of selected non-current assets²,Total of selected non-current assets²,Total of selected non-current assets²
(USD millions),2021,%,2020,%,2019,%,2021,%,2020,%
Country,,,,,,,,,,
Switzerland,873,2,800,2,848,2,25 770,33,34904,39
United States,16 818,33,16484,34,16280,34,37054,48,39889,44
France,2522,5,2442,5,2442,5,3615,5,4115,5
Germany,4870,9,4518,9,4120,9,2378,3,2607,3
China,3052,6,2573,5,2214,5,703,1,714,1
Japan,2683,5,2804,6,2656,6,217,,313,
Other,20808,40,19038,39,18885,39,7351,10,7837,8
Group,51626,100,48659,100,47445,100,77088,100,90379,100
Region,,,,,,,,,,
Europe,,,,,17 933,,,,,
Americas,20197,39 40,18715 19725,38 41,19713,38,37525,49,47798 40391,53
Asia/Africa/Australasia,20463 10966,21,10219,21,9799,41 21,37 522 2041,49 2,2190,45 2
Group,51626,100,48 659,100,47445,100,77088,100,90379,100
