Compound/product,Potential indication,Change,Reason
ACZ885,"Non-small cell lung cancer, 2nd line",Removed,Development discontinued
ACZ885,"Non-small cell lung cancer, 1st line",Removed,Development discontinued
AVXS-201 (OAV201),Rett syndrome,Removed,Development discontinued
Beovu,Retinal vein occlusion,Removed,Development discontinued
BYL719,"Head and neck squamous cell carcinoma, 2nd and 3rd line",Removed,Development discontinued
CEE321,Atopic dermatitis,Removed,Development discontinued
CFZ533,Renal transplantation,Removed,Development discontinued
ECF843,Dry eye,Removed,Development discontinued
Entresto,Chronic heart failure with preserved ejection fraction,Commercialized,
Entresto,Post-acute myocardial infarction,Removed,Development discontinued
KJX839,Hyperlipidemia,Commercialized as Legvio,
Kymriah,Relapsed/refractory diffuse large B-cell lymphoma in 1st relapse,Removed,Development discontinued
LJC242,Nonalcoholic steatohepatitis,Removed,Development discontinued
LMI070,Spinal muscular atrophy,Removed,Development discontinued
OMB157,Relapsing multiple sclerosis,Commercialized as Kesimpta,
PDR001,Malignant melanoma (combo),Removed,Development discontinued
Tabrecta,Solid tumors,Removed,Development discontinued
