(CHF millions),Note 2021,2020
Income from investment in Group subsidiaries,8082,8882
License income,228,217
Other income,2,2
Total income,8312,9101
Amortization of goodwill,3 -252,-252
Impairment of investment in Group subsidiaries,-85,
Litigation and settlement costs,4,-117
General and administrative expenses,,-13
Total expenses,-13,
Operating income,-350,-382
Financial income,7962,8719
Financial expenses,5 442,466
,5 -160,-220
Extraordinary expenses,-1,-11
Income before taxes Direct taxes,8243,8954
Net income of the year,-69 8174,-87 8867
