Target Annual Incentive,Annual base salary,,,,,,,
On-target opportunities ·CEO: 15o% of annual base salary,Target incentive Target X (% of base salary) = Annual Incentive ·Other Executive Committee members: 80% to 120% of annual base salary,Target incentive Target X (% of base salary) = Annual Incentive ·Other Executive Committee members: 80% to 120% of annual base salary,Target incentive Target X (% of base salary) = Annual Incentive ·Other Executive Committee members: 80% to 120% of annual base salary,Target incentive Target X (% of base salary) = Annual Incentive ·Other Executive Committee members: 80% to 120% of annual base salary,,,,
Performance measures,"·An Annual Incentive balanced scorecard containing: ·Financial performance measures related to Group,division orbusiness unit,where relevant (6O% weighting) ·Five key strategic objectives in theareas of innovation,operational excellence,dataand digital,people and culture,and building trust with society (4O% weighting)","·An Annual Incentive balanced scorecard containing: ·Financial performance measures related to Group,division orbusiness unit,where relevant (6O% weighting) ·Five key strategic objectives in theareas of innovation,operational excellence,dataand digital,people and culture,and building trust with society (4O% weighting)","·An Annual Incentive balanced scorecard containing: ·Financial performance measures related to Group,division orbusiness unit,where relevant (6O% weighting) ·Five key strategic objectives in theareas of innovation,operational excellence,dataand digital,people and culture,and building trust with society (4O% weighting)","·An Annual Incentive balanced scorecard containing: ·Financial performance measures related to Group,division orbusiness unit,where relevant (6O% weighting) ·Five key strategic objectives in theareas of innovation,operational excellence,dataand digital,people and culture,and building trust with society (4O% weighting)",,,,
Target setting,"·The 2021 balanced scorecard targets and achievements of the CEO are detailed on the next page. ·The 2021 balanced scorecards for other Executive Commitee members include Group financial targets as well as financial or other quantitative targets that relate to their division or businessunit,if applicable. ·Values and Behaviors are a key component of the Annual Incentive and are embedded in our culture.As such,members of the Executive Committee are expected to demonstrate these to the highest standards. ·Financial targets are setat the beginning of each financial year and align with the strategic plan proposed","·The 2021 balanced scorecard targets and achievements of the CEO are detailed on the next page. ·The 2021 balanced scorecards for other Executive Commitee members include Group financial targets as well as financial or other quantitative targets that relate to their division or businessunit,if applicable. ·Values and Behaviors are a key component of the Annual Incentive and are embedded in our culture.As such,members of the Executive Committee are expected to demonstrate these to the highest standards. ·Financial targets are setat the beginning of each financial year and align with the strategic plan proposed","·The 2021 balanced scorecard targets and achievements of the CEO are detailed on the next page. ·The 2021 balanced scorecards for other Executive Commitee members include Group financial targets as well as financial or other quantitative targets that relate to their division or businessunit,if applicable. ·Values and Behaviors are a key component of the Annual Incentive and are embedded in our culture.As such,members of the Executive Committee are expected to demonstrate these to the highest standards. ·Financial targets are setat the beginning of each financial year and align with the strategic plan proposed","·The 2021 balanced scorecard targets and achievements of the CEO are detailed on the next page. ·The 2021 balanced scorecards for other Executive Commitee members include Group financial targets as well as financial or other quantitative targets that relate to their division or businessunit,if applicable. ·Values and Behaviors are a key component of the Annual Incentive and are embedded in our culture.As such,members of the Executive Committee are expected to demonstrate these to the highest standards. ·Financial targets are setat the beginning of each financial year and align with the strategic plan proposed",,,,
Payout ranges,"by management to the Board of Directors for approval. ：The strategic objectives are aligned with the most important priorities in any performance year. ，The payout schedule for the Annual Incentive incorporates performance against financial and strategic objectives.The payout range is O% to 2Oo% of on-target opportunity based on performance,as shown","by management to the Board of Directors for approval. ：The strategic objectives are aligned with the most important priorities in any performance year. ，The payout schedule for the Annual Incentive incorporates performance against financial and strategic objectives.The payout range is O% to 2Oo% of on-target opportunity based on performance,as shown","by management to the Board of Directors for approval. ：The strategic objectives are aligned with the most important priorities in any performance year. ，The payout schedule for the Annual Incentive incorporates performance against financial and strategic objectives.The payout range is O% to 2Oo% of on-target opportunity based on performance,as shown","by management to the Board of Directors for approval. ：The strategic objectives are aligned with the most important priorities in any performance year. ，The payout schedule for the Annual Incentive incorporates performance against financial and strategic objectives.The payout range is O% to 2Oo% of on-target opportunity based on performance,as shown",,,,
,below:,below:,below:,below:,below:,below:,below:,below:
,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%,PERFORMANCE PAYOUT (% of on-target) Outstanding 170%-200%
,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%,Exceeds expectations 130%-160%
,Meets expectations 80%-120%,Meets expectations 80%-120%,Meets expectations 80%-120%,Meets expectations 80%-120%,Meets expectations 80%-120%,Meets expectations 80%-120%,Meets expectations 80%-120%,Meets expectations 80%-120%
,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%,Partially meets expectations 40%-70%
,Below expectations 0%,Below expectations 0%,Below expectations 0%,Below expectations 0%,Below expectations 0%,Below expectations 0%,Below expectations 0%,Below expectations 0%
