,Goodwill,Intangible assets other than goodwill,Intangible assets other than goodwill,Intangible assets other than goodwill,Intangible assets other than goodwill,
,,In-process research and,,Currently marketed,Other intangible,
(USD millions),Total,development Technologies,,products,assets,Total
Cost,,,,,,
"January 1,2020",26825,7 429,884,43 548,1558,53419
Cost of assets reclassified out of assets of,,,,,,
disposal group held for sale 1,,10,276,1112,2,1400
Impact of acquisitions of businesses,2580,8600,,196,218,9014
Reclassifications ²,,-9272,-2,9274,,
Additions 3,,339,,674,412,1425
Disposals and derecognitions 4,,-421,-101,-39,-11,-572
Currency translation effects,916,208,58,2568,205,3039
"December31,2020",30321,6893,1115,57333,2384,67 725
Accumulated amortization,,,,,,
"January 1,2020",-301,-2 005,- 721,- 20 969,- 937,- 24 632
Accumulated amortization on assets reclassified,,,,,,
out of assets of disposal group held for sale 1,,-2,-107,-816,,-925
Amortization charge 5 Accumulated amortization on disposals,,,-72,-3215,-175,-3462
and derecognitions 4,,421,101,39,6,567
Impairment charge 6,,-515,-40,-338,-21,-914
Currency translation effects,-21,-92,-46,-1267,-145,-1550
"December31,2020",-322,-2193,-885,- 26566,-1272,-30916
"Net book valueat December31,2020",29999,4700,230,30767,1112,36809
