,,2021 Financial instruments at,2021 Financial instruments at,2021 Financial instruments at
,,Financial instruments at through other amortized comprehensive,instruments at fair value,fair value through the consolidated income
(USD millions) Cash and cash equivalents 1,Note 16,costs 10397,income 2010,statement
Time deposits and short-term investments with original maturity more than 9o days,16,12 965,,
Trade receivables,15,8005,,
Other receivables and current assets,17,793,,
Marketable securities -debt securities,16,,2741,
Long-term financial investments-equity securities,13,,1195,468
Long-term financial investments - debt securities,13,,34,
Long-term financial investments - fund investments,13,,,366
"Long-term loans,advances,security deposits and other long-term receivables",13,332,,
Associated companies at fair value through profit and loss,,,,192
Derivative financial instruments,16,,,105
Contingent consideration receivables,13,,,641
Total financial assets,,32492,5980,1772
Interest-bearing accounts of employees payable on demand,21,1814,,
Bank and other short-term financial debt,21,899,,
Commercial paper,21,893,,
Straight bonds,19,25296,,
Long-term liabilities to banksand other financial institutions,19,227,,
Trade payables,,5553,,
Commitment for repurchase of own shares,18/22,2809,,
Contingent consideration liabilities (see Note 2O/22)and other financial liabilities,,,1094,
Derivative financial instruments,21,,,
Lease liabilities,10,,,1896
Total financial liabilities,,37491,,1896
