,,,US,US,Rest of world %,Rest of world %,,,Total %,Total %,Total %
,,,,,,,%,%,,,%
Brands,Business franchise,Key indication,USD m USD/cc²,change,USD m,change change USD,cc²,USDm,change USD,change,cc²
,"Immunology, Hepatology and","Psoriasis,ankylosing spondylitis, psoriaticarthritis and non-radiographic",,,,,,,,,
Cosentyx,"Dermatology Cardiovascular,",axial spondyloarthritis,2883,15,1835,24,20,,4718,18,17
Entresto,Renal and Metabolism,Chronic heart failure,1712,34,1836,50,45,,3548,42,40
Gilenya,Neuroscience,Relapsing multiple sclerosis,1427,-9,1360,-6,-8,,2787,-7,-9
Lucentis,Ophthalmology,Age-related macular degeneration,,,2160,12,,8,2160,12,8
Tasigna,Hematology,Chronic myeloid leukemia,882,3,1178,7,,5,2060,5,4
Promacta/Revolade,Hematology,"Immune thrombocytopenia (ITP), severeaplasticanemia (SAA)",947,14,1069,18,,17,2016,16,15
,,BRAF V600+ metastatic and adjuvant melanoma; advanced non-small cell,,,,,,,,,
Tafinlar+ Mekinist,Solid Tumor,"lung cancer (NSCLC) Myelofibrosis (MF),",606,,7 1087,12,,9,1693,10,8
Jakavi,Hematology,"polycythemia vera (PV) Severe allergic asthma (SAA),",,,1595,19,,16,1595,19,16
Xolair1,Respiratory and Allergy,chronic spontaneous urticaria (CSU) and nasal polyps Carcinoid tumors,,,1428,14,,12,1428,14,12
Sandostatin,Solid Tumor,and acromegaly,843,1,,570 -5,,-8,1413,-2,-3
Zolgensma,Neuroscience,Spinal muscular atrophy (SMA),469,2,,882 91,,90,1351,47,46
Galvus Group,"Established Medicines Immunology,","Type 2 diabetes Auto-inflammatory (CAPS,",,,1092,-9,-8,,1092,-9,-8
llaris,Hepatologyand Dermatology,"TRAPS,HDS/MKD,F, SJIA, AOSD and gout)",501,25,,558 18,19,,1059,21,22
Gleevec/Glivec,Hematology,Chronic myeloid leukemia and GIST,263,-17,,761 -13,-15,,1024,-14,-15
Afinitor/Votubia,Solid Tumor,Breast cancer/TSC,521,-19,,417 -5,-6,,938,-13,-14
Kisqali,Solid Tumor,HR+/HER2- metastatic breast cancer,339,7,,598 62,61,,937,36,36
Exforge Group,Established Medicines,Hypertension,14,-13,,887 -8,-11,,901,-8,-11
Diovan Group,Established Medicines Hypertension,,51,-59,,722 -18,-20,,773,-23,-25
Kymriah,Hematology,"r/r pediatricand young adults ALL,DLBCL",230,12,,357 33,,30,587,24,22
Ultibro Group,Respiratory and Allergy (COPD),Chronic obstructive pulmonary disease,,,,,,,,,-10
Top 20 products total,,,11 688,,7 20976,584 -6,-10 12,9,584 32 664,-6 10,8
Rest of portfolio,,,,,,,,,,,
Total division sales,,,3311 14 999,,-3 26 996,6020,2 9,0 7,9331 41995,0,-1 6
