Vested shares and ADRs¹,Unvested shares and other equity rights²,Equity ownership level as a multiple of annual base salary³,"Unvested target PSUs (e.g., LTTP)⁴","Total at December 31, 2021"
Vasant Narasimhan,170111,74194,11x,144632
James Bradner,43744,38099,6x,72709
"Karen Hale (from May 15, 2021)",0,3977,0x,5082
Harry Kirsch,285186,41395,24x,71715
"Robert Kowalski (from September 1, 2021)",0,21186,2x,16376
Steffen Lang,125286,32082,16x,33836
Klaus Moosmayer,8312,9061,2x,25671
Richard Saynor,0,13913,1x,19800
Susanne Schaffert,116173,37190,13x,50611
John Tsai,23382,26781,4x,60680
Marie-France Tschudin,39353,31007,6x,53856
Robert Weltevreden,27758,16224,5x,27840
Total,839305,345109,,582808
