,Innovative Medicines,Innovative Medicines,Sandoz,Sandoz,Corporate,Corporate,Group,Group
(USD millions unless indicated otherwise),2021,2020,2021,2020,2021,2020,2021,2020
IFRS operating income from continuing operations,10 688,9172,1600,1043,-599,-63,11689,10152
Amortization of intangible assets,3528,2999,236,366,,,3764,3365
Impairments,,,,,,,,
Intangible assets,360,759,27,141,,,387,900
"Property,plantand equipment related to theGroup-wide rationalization of manufacturing sites",219,321,7,112,,,226,433
"Other property, plant and equipment",40,,,2,,,40,2
Total impairment charges,619,1080,34,255,,,653,1335
Acquisition or divestment of businesses and related items,,,,,,,,
- Income,-2,-5,,,-64,-73,-66,-78
-Expense,1,107,,22,106,89,107,218
"Total acquisition or divestment of businesses and related items, net",-1,102,,22,42,16,41,140
Other items,,,,,,,,
Divestment gains,-649,-348,-4,-27,-75,-39,-728,-414
Financial assets - fair value adjustments,-43,-153,,,5,-183,-38,-336
Restructuring and related items,,,,,,,,
- Income,-32,-36,-36,-30,-6,-28,-74,-94
- Expense,833,484,193,252,32,35,1058,771
Legal-related items,,,,,,,,
- Income,,,-11,,,,-11,
- Expense,170,555,53,406,,-26,223,935
Additional income,-139,-264,-1,-6,-138,-361,-278,-631
Additional expense,241,54,,53,48,86,289,193
Total other items,381,292,194,648,-134,-516,441,424
Total adjustments,4527,4473,464,1291,-92,-500,4899,5264
Core operating income from continuing operations,15215,13 645,2064,2334,-691,-563,16588,15416
as % of net sales,36.2%,35.0%,21.4%,24.2%,,,32.1%,31.7%
Income from associated companies,5,1,2,2,15332,670,15339,673
"Core adjustments to income from associated companies, net of tax",,,,,- 14 346,,424 -14346,424
Interest expense,,,,,,,-811,-869
Other financial income and expense,,,,,,,-80,-78
Core adjustments to other financial income and expense,,,,,,,39,-5
"Income taxes,adjusted for above items (core income taxes)",,,,,,,-2635,-2403
Core net income,,,,,,,14094,13158
Core net income attributable to shareholders of Novartis AG,,,,,,,14 097,13159
Core basic EPS (USD)1,,,,,,,6.29,5.78
