,,,,,,Yearproject entered current,,Planned filing
Compound/ Common product,name,Mechanism of action,Potential indication,Business franchise,route of administration,phase,development dates/current phase,
ABL0011,asciminib,BCR-ABL inhibitor,"Chronic myeloid leukemia, 3rd line",Hematology,Oral,2021,US approved EUregistration,
,,,"Chronic myeloid leukemia,1st line²",Hematology,Oral,2021,2025/I,
ACZ885 AVXS-101,onasemno-,canakinumab IL-1 beta inhibitor Survival motor neuron,"Non-small cell lung cancer,adjuvant Spinal muscular atrophy",Solid Tumor Neuroscience,Subcutaneous injection 2018 Intrathecal injection,2021,2023/I 2025/I,
(OAV101),vovec,gene abepar- (SMN) gene therapy,(IT formulation)3,,,,,
Beovu,brolucizumab VEGF inhibitor,,Diabetic macular edema,Ophthalmology,Intravitreal injection,2021,US/EU registration,
BYL719,alpelisib,Pl3K-alpha inhibitor,Diabetic retinopathy PIK3CA-related overgrowth spectrum,Ophthalmology,Intravitreal injection,2020,2025/I1,
,,,Triple negative breast cancer,Solid Tumor Solid Tumor,Oral Oral,2021,US registration 2023/I,
,,,Human epidermal growth factor receptor 2-positive (HER2+),Solid Tumor,Oral,2020 2020,2025/I,
,,,advanced breast cancer,,,,,
CFZ533,iscalimab,CD40 inhibitor,Ovarian cancer Liver transplantation,"Solid Tumor Immunology,",Oral Intravenous infusion,2021 2019,2023/I ≥2026/I,
,,,,"Hepatology and Dermatology Immunology,",,,,
,,,Sjogren's syndrome,Hepatology and Dermatology,Subcutaneous injection 2019,,≥2026/Il,
Coartem Cosentyx,artemether+ PGH-1 lumefantrine secukinumab IL-17A inhibitor,,"Malaria,uncomplicated (<5 kg patients) Ankylosing spondylitis head-to-head study Immunology,",Established Medicines,Oral,2020,2024/I,
,,,versus Sandoz biosimilar Hyrimoz (adalimumab),Hepatology and Dermatology,Subcutaneous injection 2017,,2022/I,
,,,Hidradenitis suppurativa,"Immunology, Hepatology and Dermatology",Subcutaneous injection 2019,,2022/II,
,,,Giant cell arteritis,"Immunology, Hepatology and Dermatology",Subcutaneous injection 2021,,2024/I,
,,,Lichen planus,"Immunology, Hepatology and Dermatology",Subcutaneous injection 2020,,2025/I,
,,,Lupus nephritis,"Immunology, Hepatology and Dermatology",Subcutaneous injection 2020,,≥2026/I,
,,,Psoriatic arthritis (IV formulation),"Immunology, Hepatology and Dermatology",Intravenous infusion,2019,2022/II,
,,,Ankylosing spondylitis (IV formulation),"Immunology, Hepatology and Dermatology",Intravenous infusion,2019,2023/I,
CSJ117,TBD,TSLP inhibitor,Asthma,Respiratory and Allergy,Inhalation,2020,≥2026/I,
