2021 Annual Incentive (performance achieved),Equity (number),LTTPP 2021-2023 cycle PSUs (target number),Other Equity/PSUs (number),Variable compensation¹
"Executive Committee members active on December 31, 2021",Vasant Narasimhan,16 999,66 939,0
"Executive Committee members active on December 31, 2021",James Bradner,8 462,30 644,0
"Executive Committee members active on December 31, 2021","Karen Hale (from May 15, 2021)",3 341,17 823,0
"Executive Committee members active on December 31, 2021",Harry Kirsch,13 598,32 451,0
"Executive Committee members active on December 31, 2021","Robert Kowalski (from September 1, 2021)",1 348,5 067,0
"Executive Committee members active on December 31, 2021",Steffen Lang,9 763,18 254,0
"Executive Committee members active on December 31, 2021",Klaus Moosmayer,3 237,12 034,0
"Executive Committee members active on December 31, 2021",Richard Saynor,2 515,17 364,0
"Executive Committee members active on December 31, 2021",Susanne Schaffert,10 162,24 626,0
"Executive Committee members active on December 31, 2021",John Tsai,3 928,25 492,0
"Executive Committee members active on December 31, 2021",Marie-France Tschudin,9 033,23 599,0
"Executive Committee members active on December 31, 2021",Robert Weltevreden,3 829,15 022,0
"Executive Committee members active on December 31, 2021",Total,86 215,289 315,0
Executive Committee members who stepped down during 2021,"Steven Baert (until June 30, 2021) ⁴",0,4 909,0
Executive Committee members who stepped down during 2021,"Bertrand Bodson (until January 31, 2021) ⁵",0,0,0
Executive Committee members who stepped down during 2021,"Shannon Thyme Klinger (until March 15, 2021) ⁶",0,3 253,0
Executive Committee members who stepped down during 2021,Subtotal,0,8 162,0
Executive Committee members who stepped down during 2021,Total,-,8 162,0
